selected,project,is_fork,stars,forks,watchers,commits,authors,loc,locJava,authorTotal,jmhTests,jmhAuthors,score,name
YES,41044998,0,0,0,27,6,3,176867,125326,3,114,1,36293.1084,dotCMS/log4j
YES,84761383,0,0,0,1,75,1,32816,32281,1,6,1,1476.72,Gilandel/utils-commons
NO,40611623,1,0,0,1,1209,66,57703,51406,66,48,1,22100895.2736,rukor/Hystrix
YES,47997382,0,0,0,1,22,1,12463,10792,1,1,1,27.4186,udoprog/scribe
YES,38671573,0,4,3,10,313,8,10949,9428,8,2,1,27416.296,JavaMicroService/rapidpm-microservice
YES,52301278,0,2,1,1,19,2,19769,756,2,14,1,3155.1324,gpanther/benchmark-arraycopy
NO,79835784,1,0,0,1,339,7,96895,50877,7,10,2,229931.835,chhh/javolution
NO,39079298,1,0,0,1,18,1,3607,3131,1,4,1,25.9704,rafaeljribeiro/reversegeocode
NO,30257269,1,1,0,1,287,16,8696,7940,16,8,1,63891.2512,juoni/okio
YES,36860286,0,0,0,1,2,1,202130,196557,1,32,1,1293.632,wuyinxian124/netty4-0-27learn2
NO,43255412,1,0,0,3,995,20,9441,7576,20,8,2,150300.72,GauriGNaik/commons-csv
YES,77697564,0,2,0,2,49,1,3484,2852,1,10,1,512.148,maxdemarzi/GuancialeDB
YES,56566727,0,3,0,1,9,2,750,464,2,3,1,16.2,iNikem/clean
NO,40672549,1,0,0,1,80,3,8081,6866,3,1,1,193.944,xquery/marklogic-jena-1
NO,40238172,1,0,0,1,1111,58,94820,88523,58,8,6,4888008.928,eonezhang/grpc-java
YES,29557376,0,594,64,74,2519,26,215597,214088,26,25,1,2.1003961003025e+10,aol/cyclops-react
YES,39735112,0,3,2,3,11,1,348,185,1,2,1,3.0624,Java-Courses/collections-m0e4
YES,18242149,0,1375,396,133,813,23,22884,22095,23,2,1,117760258.4832,cglib/cglib
NO,44463754,1,1,0,0,1923,28,405882,198080,28,2,2,8741724.1632,pinotlytics/pinot
YES,33006630,0,28,7,8,29,3,2574,2368,3,7,1,4545.9414,maxdemarzi/graph-processing
NO,21056808,1,0,0,1,1104,27,73239,26993,27,8,3,1746486.4896,lcs777/simple-binary-encoding
NO,41100301,1,0,0,1,3194,246,48934,39727,246,5,2,19224309.108,yshaojie/dropwizard
NO,39756709,1,0,0,1,4211,121,103398,99074,121,109,4,574260901.0842,sposam/RxJava
NO,51369520,1,1,0,3,6763,146,536343,398129,146,27,9,2.8597536297756e+09,tellproject/presto
NO,33663622,1,1,0,1,507,3,49855,48462,3,44,1,667299.204,tasomaniac/caffeine
NO,16478154,1,0,0,1,1063,19,34864,32749,19,1,1,70414.8208,gjroelofs/artemis-odb
YES,13512175,0,22,3,4,630,2,45569,31056,2,8,1,1056471.696,ssaarela/javersion
NO,89713998,1,0,0,1,2035,96,199621,190210,96,31,9,120893671.536,simonhorlick/grpc-java
YES,46769918,0,0,0,1,2,1,234,151,1,3,1,0.1404,kawasima/copyfile-benchmark
YES,51088912,0,1,0,0,11,1,3832,3333,1,16,1,134.8864,Gohla/persistent-graph
YES,14755049,0,9,6,23,201,16,21076,20543,16,9,1,610023.744,addthis/basis
YES,60612991,0,0,0,5,20,4,155375,149980,4,4,1,4972,jvcaquino/DC-UFSCar-ES2-201601-Grupo6
NO,34410845,1,0,0,1,261,9,12175,11554,9,26,2,74357.595,akarnokd/JCTools
NO,74501498,1,0,0,1,294,9,8136,7583,9,4,3,8611.1424,storozhukBM/javaslang-circuitbreaker
YES,24895763,0,0,0,1,4,1,296,231,1,1,1,0.1184,irobertson/StringBuilderInvokeDynamicBenchmark
NO,42932837,1,0,0,1,920,51,71606,65991,51,8,5,2687802.816,koushikan/grpc-java
YES,44304932,0,11,1,1,27,1,164711,164011,1,24,1,128079.2736,akarnokd/rxjava2-backport
YES,51358299,0,0,0,1,24,1,1190,1188,1,16,1,45.696,sormuras/treasure
NO,54982126,1,0,0,1,448,19,219808,205478,19,8,1,1496804.5568,clemensgeibel/inspectIT
YES,78946145,0,1,0,1,125,3,12747,12414,3,3,1,2868.075,jon-hanson/funcj
NO,31379300,1,0,1,1,1916,89,203020,193332,89,31,8,107321325.688,nmittler/grpc-java
YES,44962046,0,10,3,3,199,2,33152,32359,2,362,2,5254048.3072,akarnokd/akarnokd-misc
YES,35293932,0,0,0,1,19,2,1561,1390,2,2,1,11.8636,renoth/texxxxas
YES,44535917,0,3,0,20,759,5,86438,27048,5,14,1,1836980.376,DataArt/CalculationEngine
YES,78331578,0,0,0,1,25,2,4159,3700,2,1,1,20.795,xiajunsongfan/scud
YES,77626608,0,1,1,1,16,2,803,714,2,8,2,41.1136,maxdemarzi/ChronicleGraph
NO,38514558,1,0,0,1,574,22,31875,31061,22,64,6,2576112,franz1981/JCTools
YES,23952790,0,1,0,1,16,1,783,515,1,8,1,20.0448,brettwooldridge/HikariJSON-benchmark
YES,13683155,0,2,0,1,0,0,10669,7482,0,8,1,0,wondee/faststring
