project,forked,watchers,stars,forks,subscribers
goldmansachs/gs-collections,False,1652,1652,247,204
dmuino/spectator,True,0,0,0,0
Gohla/persistent-graph,False,1,1,0,0
benalexau/hash-bench,False,32,32,2,8
dimitrovchi/enum-like,False,0,0,0,1
vladimir-bukhtoyarov/bucket4j,False,94,94,20,9
kpavlov/fixio,False,43,43,33,14
mkraemerx/algorithm-art,False,0,0,0,1
aNNiMON/Own-Programming-Language-Tutorial,False,25,25,6,8
maxifier/mxcache,False,2,2,3,12
DanielThomas/spring-boot-starter-netty,False,70,70,41,15
jfallows/nuklei,True,0,0,0,0
Swrve/rate-limited-logger,False,14,14,2,59
NICTA/javallier,False,15,15,7,9
pinotlytics/pinot,True,1,1,0,0
lburgazzoli/apache-logging-log4j2,True,0,0,0,1
uujava/cqengine-query-jmh,False,0,0,0,1
druid-io/druid,False,4743,4743,1132,457
chosen0ne/btrace,True,0,0,0,1
JetBrains-Research/viktor,False,4,4,0,7
zhenxiao/parquet-mr,True,0,0,1,2
amoghmargoor/incubator-calcite,True,0,0,0,1
nitsanw/jmh-samples,False,48,48,17,3
RobAustin/byte-buddy,True,1,1,1,2
wrmsr/presto,True,0,0,1,2
eonezhang/grpc-java,True,0,0,0,1
thomasdarimont/JCTools,True,0,0,0,1
zhoupan/feign,True,0,0,0,1
522986491/yangtools,True,0,0,0,1
rschmitt/invokedynamic-proxy,True,0,0,0,1
biboudis/jmh-profilers,False,18,18,4,3
pcj/commonmark-java,True,0,0,0,1
martint/slice,True,1,1,0,1
kgilmer/XMLObjectIterable,False,0,0,0,1
kidaa/aurora,True,0,0,0,0
nithril/packedobject-test,False,0,0,0,1
tdunning/t-digest-benchmark,False,7,7,3,2
moujian/grpc-java,True,0,0,0,1
Java-Courses/collections-m0e4,False,3,3,1,3
epickrram/jvm-warmup-talk,False,0,0,0,1
comsysto/jmh-gradle-plugin,True,1,1,0,63
summerhai/ohc,True,0,0,0,1
batterseapower/timeseries-compression,False,3,3,0,1
cchang738/parquet-mr,True,0,0,0,1
danielmitterdorfer/elasticsearch,True,0,0,1,0
gdrouet/scanner-benchmark,False,0,0,0,1
