"project","forked","stars","forks","watchers","repoAvailable","parentProject","rootProject","mainRepo","cloneUrl","lastUpdate","numberOfCommits","numberOfTags","numberOfContributors","jmhVersion","numberOfBenchmarks","javaTarget","javaSource","firstBenchmarkFound","lastCommit","lastCommitHash","defaultBranch"
"intropro/prairie","false","2","4","3","true","","intropro/prairie","true","https://github.com/intropro/prairie.git","2019-04-13T05:26:13Z","100","4","1","01.11.2001","23","","","1446623800","1475834030","39dd0c5a6e3e88f24d679bb66278691abd291eac","master"
"jsurfer/JsonSurfer","false","146","30","12","true","","jsurfer/JsonSurfer","true","https://github.com/jsurfer/JsonSurfer.git","2019-07-19T10:34:08Z","252","16","6","01.10.2002","23","1.7","1.7","1438380000","1563350378","36b5725319c1747ccca7b4d0701dae123181ee04","master"
"fabienrenaud/java-json-benchmark","false","437","57","30","true","","fabienrenaud/java-json-benchmark","true","https://github.com/fabienrenaud/java-json-benchmark.git","2019-08-14T15:38:59Z","104","0","6","1.2","58","1.8","1.8","1467049252","1541119646","a8eeff6a3859b3939bbb43ed1ca92383cfaa03e6","master"
"kevoree-modeling/benchmark","false","0","0","6","true","","kevoree-modeling/benchmark","true","https://github.com/kevoree-modeling/benchmark.git","2016-11-02T15:25:39Z","102","0","3","1.13","18","1.8","1.8","1441058400","1481888726","7b52401024d6758eeb3dc4403bfdd46075f7be4e","master"
"cfieber/spectator","true","0","0","0","true","Netflix/spectator","Netflix/spectator","","https://github.com/cfieber/spectator.git","2015-09-02T21:44:03Z","463","25","9","","22","1.8","1.8","","","496546d51262fefb4fec7a13fd8afe79cf741d8f","master"
"dmuino/spectator","true","0","0","0","true","Netflix/spectator","Netflix/spectator","","https://github.com/dmuino/spectator.git","2015-09-17T21:40:53Z","459","25","9","","22","1.8","1.8","","","ae6897b4aec7cb77d08d2f6b9e178be4ed4d1841","master"
"Vedenin/java_in_examples","false","37","29","10","true","","Vedenin/java_in_examples","true","https://github.com/Vedenin/java_in_examples.git","2019-06-20T09:57:59Z","100","0","1","01.11.2003","49","1.8","1.8","1456786800","1463369127","f256147a03857ea4e2865538d262a2d50515dd60","master"
"txazo/java","false","0","1","1","true","","txazo/java","true","https://github.com/txazo/java.git","2019-06-06T10:29:46Z","100","0","1","1.15","6","","","1477954800","1559816974","961002dc7270ccf480519f7558383c52bd0728d4","master"
"marschall/mini-commons","false","0","1","1","true","","marschall/mini-commons","true","https://github.com/marschall/mini-commons.git","2016-04-29T15:25:23Z","45","1","1","1.19","22","","","1462053600","1506973320","e819df56112202b6d43df245114a89a4c0fd4513","master"
"thheller/shadow-pgsql","false","16","0","2","true","","thheller/shadow-pgsql","true","https://github.com/thheller/shadow-pgsql.git","2018-08-02T13:14:55Z","96","0","1","","5","","","1443650400","1533215685","23518f5b8ded20de52db4230cc8843aec24b9163","master"
"supriyantomaftuh/marklogic-jena","false","","","","false","","","","","","","","","","","","","","","",""
"tudorv91/SparkJNI","false","11","3","3","true","","tudorv91/SparkJNI","true","https://github.com/tudorv91/SparkJNI.git","2019-05-04T20:16:14Z","95","0","2","1.17.2","2","1.7","1.7","1483225200","1488439726","c1819d3d477889169e0c975fe412fb95b824248d","master"
"mcanthony/presto","true","1","0","1","true","prestodb/presto","prestodb/presto","","https://github.com/mcanthony/presto.git","2016-03-18T00:24:52Z","5856","122","87","0.7.1","21","","","","","9ce38fa54ad62f51eaf004523c1a62144fb21ee9","master"
"ioc1778/incubator","false","","","","false","","","","","","","","","","","","","","","",""
"toxeh/presto","true","0","0","1","true","prestodb/presto","prestodb/presto","","https://github.com/toxeh/presto.git","2016-03-18T00:24:52Z","5957","121","89","0.7.1","21","","","","","24ed9893f80407fea41c30f0fee1d27d5e4cf43f","master"
"fipar/presto","true","0","0","1","true","prestodb/presto","prestodb/presto","","https://github.com/fipar/presto.git","2016-03-18T00:24:50Z","6105","111","91","0.7.1","21","","","","","847a2bbeb29cf5eda3876b0e0a9a2d5ee92244ab","master"
"shubham166/presto","true","0","0","1","true","prestodb/presto","prestodb/presto","","https://github.com/shubham166/presto.git","2016-03-18T00:24:46Z","5206","92","67","0.7.1","21","","","","","f2fa485fe5778469aef26b15edc066e081d2e0c7","master"
"Zutai/presto","true","2","3","2","true","prestodb/presto","prestodb/presto","","https://github.com/Zutai/presto.git","2016-03-18T00:24:48Z","5077","104","66","0.7.1","21","","","","","05f078847bc200dea442c77a8b818d814553e019","master"
"pdeva/druid","true","0","0","1","true","apache/incubator-druid","apache/incubator-druid","","https://github.com/pdeva/druid.git","2018-07-06T15:32:28Z","7082","368","106","01.09.2002","21","1.7","","","","c8af37e9ac0a8c00c80b727969feb0dbc7d50f65","master"
"rasahner/druid","true","0","0","0","true","apache/incubator-druid","apache/incubator-druid","","https://github.com/rasahner/druid.git","2018-07-06T15:32:34Z","7124","359","107","01.09.2002","21","1.7","","","","632b21472be52a130e26a1645ceea5a5e55f836b","master"
"vermaravikant/presto","true","0","0","1","true","prestodb/presto","prestodb/presto","","https://github.com/vermaravikant/presto.git","2016-03-18T00:24:51Z","5523","117","80","","21","","","","","a0a1bae3c253339296a01f674f4bc6ee2a1ee15d","master"
"siddhartharay007/presto","true","0","0","1","true","prestodb/presto","prestodb/presto","","https://github.com/siddhartharay007/presto.git","2016-03-18T00:24:52Z","5699","119","82","","21","","","","","f7a6976bcc5d541425825ddd2619abb0ca68576d","master"
"jiakuan/commonmark-java","true","0","0","1","true","atlassian/commonmark-java","atlassian/commonmark-java","","https://github.com/jiakuan/commonmark-java.git","2016-03-09T23:30:31Z","347","7","8","1.13","4","1.7","1.7","","","ccb8fa8b7b48c1072a6e5c42e601bab7db822b58","master"
"chiwanpark/commonmark-java","true","0","0","1","true","atlassian/commonmark-java","atlassian/commonmark-java","","https://github.com/chiwanpark/commonmark-java.git","2016-02-24T11:38:04Z","288","2","6","01.11.2003","4","1.7","1.7","","","d6bfef277475010525897423188c6986869c4854","master"
"vibneiro/dispatching","false","3","0","2","true","","vibneiro/dispatching","true","https://github.com/vibneiro/dispatching.git","2016-08-03T00:31:05Z","90","0","1","01.09.2003","15","1.7","1.7","1433109600","1435698120","b2337d602078f96f8c634d6d5530d675afd09f99","master"
"harishsharma/junk","false","0","0","1","true","","harishsharma/junk","true","https://github.com/harishsharma/junk.git","2016-01-20T06:30:32Z","88","0","1","01.10.2005","0","1.8","1.8","","1486451648","","master"
"graalvm/graal-core","false","","","","false","","","","","","","","","","","","","","","",""
"fabri1983/menuapp","false","0","0","1","true","","fabri1983/menuapp","true","https://github.com/fabri1983/menuapp.git","2019-08-07T15:30:44Z","82","0","1","1.21","2","1.6","1.6","1483225200","1565191834","c8a60fe912fe20b3b3656a7002be4341481928f1","master"
"apache/hive","false","2696","2641","317","true","","apache/hive","true","https://github.com/apache/hive.git","2019-08-20T15:57:55Z","13655","52","188","1.21","20","1.8","1.8","1422745200","1566465362","db59ec6ecf57dad72588b7593fb516c3e810b5a2","master"
"PascalSchumacher/byte-buddy","true","0","0","1","true","raphw/byte-buddy","raphw/byte-buddy","","https://github.com/PascalSchumacher/byte-buddy.git","2015-07-12T15:56:09Z","890","27","6","01.04.2002","20","","","","","c168176b3411c6d2287cbb8fb65917e3b60cddc4","master"
"vic/byte-buddy","true","0","0","1","true","raphw/byte-buddy","raphw/byte-buddy","","https://github.com/vic/byte-buddy.git","2015-10-01T04:38:57Z","1359","32","7","01.10.2005","20","","","","","73fdf916ce90147decc512979e470a40a8c305c3","master"
"RobAustin/byte-buddy","true","1","1","1","true","raphw/byte-buddy","raphw/byte-buddy","","https://github.com/RobAustin/byte-buddy.git","2015-07-25T07:08:10Z","748","14","3","01.04.2002","20","","","","","7d1ed498fe1b08219863d9472119bd2af10bee1b","master"
"austinv11/ETF-Java","false","6","1","3","true","","austinv11/ETF-Java","true","https://github.com/austinv11/ETF-Java.git","2019-03-03T17:11:44Z","81","0","1","","1","","1.8","1490997600","1494816737","2100157d45696eee9c7513c2b060b77fdf471b62","master"
"nstdio/libpgn","false","1","0","1","true","","nstdio/libpgn","true","https://github.com/nstdio/libpgn.git","2019-03-17T21:37:28Z","79","0","1","","0","","","1496268000","1552858640","","master"
"optimizely/java-sdk","false","20","12","82","true","","optimizely/java-sdk","true","https://github.com/optimizely/java-sdk.git","2019-08-19T21:13:45Z","281","36","20","1.12","20","1.8","1.8","1469571880","1566249222","444eac659abc13e78054e6be45a60feb1f9c93b3","master"
"thegenius/LogicWeaver","false","0","0","1","true","","thegenius/LogicWeaver","true","https://github.com/thegenius/LogicWeaver.git","2017-05-18T10:07:13Z","79","0","2","0.4.2","0","1.8","1.8","","1495108035","","master"
"kvr000/zbynek-java-exp","false","0","0","1","true","","kvr000/zbynek-java-exp","true","https://github.com/kvr000/zbynek-java-exp.git","2019-01-17T04:00:52Z","78","0","1","01.11.2001","22","","","1446332400","1545546091","15e6ea8d14bc172f48d08141d72a819f93d37abe","master"
"mike-tr-adamson/incubator-tinkerpop","true","0","0","0","true","apache/tinkerpop","apache/tinkerpop","","https://github.com/mike-tr-adamson/incubator-tinkerpop.git","2016-04-13T09:27:48Z","9068","11","39","01.11.2003","19","1.8","1.8","","","9957f54ad2071913d7c428f462e90064ceea15cb","master"
"newkek/incubator-tinkerpop","true","0","0","1","true","apache/tinkerpop","apache/tinkerpop","","https://github.com/newkek/incubator-tinkerpop.git","2016-05-18T15:14:31Z","10248","22","49","01.11.2003","19","1.8","1.8","","","6faf9e218b1231a9df41e624a6f84f39e1031019","master"
"achmadns/jmh-samples","true","0","0","0","true","nitsanw/jmh-samples","nitsanw/jmh-samples","","https://github.com/achmadns/jmh-samples.git","2015-09-25T08:48:10Z","22","0","2","1.11","19","1.8","1.8","","","21a13a3113e7cb8aa5237ffb73406f52e0bc1e7b","master"
"imglib/imglib2","false","191","80","45","true","","imglib/imglib2","true","https://github.com/imglib/imglib2.git","2019-08-19T11:57:50Z","5104","68","30","1.19","19","","","1512082800","1566215859","79919921ef71b72b4036ea977ee2001bd846f226","master"
"biboudis/clashofthelambdas","false","18","4","5","true","","biboudis/clashofthelambdas","true","https://github.com/biboudis/clashofthelambdas.git","2019-06-25T23:51:47Z","78","0","1","0.9.3","15","1.6","1.6","1404165600","1417196994","c423cbc6bf4c98540fe695cb2824226714ad1d91","master"
"spring-cloud/spring-cloud-sleuth","false","1119","518","124","true","","spring-cloud/spring-cloud-sleuth","true","https://github.com/spring-cloud/spring-cloud-sleuth.git","2019-08-18T12:23:18Z","2292","69","73","1.16","19","1.8","1.8","1459461600","1566019686","aa1d0830ba0a744aba2e6b17141cde0302570f11","master"
"apptik/jus","false","54","9","5","true","","apptik/jus","true","https://github.com/apptik/jus.git","2019-03-05T03:55:55Z","403","6","4","1.17.3","2","1.7","1.7","1485903600","1486375926","8a37a21b41f897d68eaeaab07368ec22a1e5a60e","master"
"PhantomYdn/orientdb","true","0","0","1","true","orientechnologies/orientdb","orientechnologies/orientdb","","https://github.com/PhantomYdn/orientdb.git","2015-03-13T03:54:56Z","10640","24","78","0.9.3","18","1.6","1.6","","","40dc6c0e59d2a592ef202551f07a934d506ea1ad","master"
"jblievremont/sonarqube","true","0","0","1","true","SonarSource/sonarqube","SonarSource/sonarqube","","https://github.com/jblievremont/sonarqube.git","2015-04-09T14:00:53Z","15969","35","32","01.05.2001","18","","","","","7fe7ecde39df4755d153ace94ff60433df24cf03","master"
"abbeyj/sonarqube","true","0","0","1","true","SonarSource/sonarqube","SonarSource/sonarqube","","https://github.com/abbeyj/sonarqube.git","2015-03-24T20:15:44Z","17453","66","36","01.05.2001","18","","","","","26817f2f1b31d777b681cc08f3a06db201521007","master"
"seven332/okio","true","0","0","1","true","square/okio","square/okio","","https://github.com/seven332/okio.git","2018-12-05T06:33:45Z","544","23","35","01.04.2001","18","1.7","1.7","","","eb2e7c0f72ee8cbe655d7f3f220ba365bf7b9c8d","master"
"ivgiuliani/jelf","false","0","0","1","true","","ivgiuliani/jelf","true","https://github.com/ivgiuliani/jelf.git","2015-04-12T12:12:57Z","73","0","1","1.8","4","","","1404165600","1428840773","6cc30b1449fa349ded1ec896654cc15772f8e912","master"
"iloveyou416068/CookNIOServer","false","0","0","1","true","","iloveyou416068/CookNIOServer","true","https://github.com/iloveyou416068/CookNIOServer.git","2015-04-14T02:52:48Z","72","0","0","0.9","32","1.7","1.7","1422745200","1426041603","0f67e6badec41ddbfbac9deb90f9889716a1db5a","master"
"Abnaxos/guards","false","1","0","1","true","","Abnaxos/guards","true","https://github.com/Abnaxos/guards.git","2015-04-16T15:55:38Z","70","0","1","01.05.2002","5","","1.7","1425164400","1429199723","0c3567559aea51505295a06950895977247cc623","master"
"almondtools/regexbench","false","1","0","1","true","","almondtools/regexbench","true","https://github.com/almondtools/regexbench.git","2019-01-04T09:10:43Z","70","0","1","1.21","4","1.8","1.8","1446332400","1546593037","585112b6c1d92859b39d6e1b68443fdd2c0b8c15","master"
"trautonen/logback-ext","false","22","37","1","true","","trautonen/logback-ext","true","https://github.com/trautonen/logback-ext.git","2019-01-03T07:37:59Z","70","0","2","01.10.2005","2","","","1443650400","1459714744","dfd45daa3999bb9d12f2b20f7fcdd9eb79a30527","master"
"golo-lang/golo-jmh-benchmarks","false","5","0","15","true","","golo-lang/golo-jmh-benchmarks","true","https://github.com/golo-lang/golo-jmh-benchmarks.git","2019-01-21T20:19:59Z","67","0","2","1.21","94","1.8","1.8","1404165600","1548101985","96afd58ef747e823e3aa359ba3d0d8295cc6fe17","master"
"darach/message-codec-bench","false","0","1","1","true","","darach/message-codec-bench","true","https://github.com/darach/message-codec-bench.git","2014-03-17T01:37:21Z","66","0","6","","0","","","","1386768383","","master"
"uber/h3-java","false","69","17","12","true","","uber/h3-java","true","https://github.com/uber/h3-java.git","2019-08-20T00:02:20Z","170","11","2","1.19","18","1.8","1.8","1522169133","1566259334","a0fd773c0af75398c66047c18170eeb281e5c633","master"
"udoprog/tiny-serializer-java","false","4","1","1","true","","udoprog/tiny-serializer-java","true","https://github.com/udoprog/tiny-serializer-java.git","2017-03-26T22:35:44Z","163","26","1","01.10.2004","18","1.8","1.8","1441058400","1487372999","e2a7d9e7eb9125a51a17ba3abad0b291a97f9c6f","master"
"ivgiuliani/cuckoohash","false","0","0","1","true","","ivgiuliani/cuckoohash","true","https://github.com/ivgiuliani/cuckoohash.git","2016-06-11T18:27:46Z","65","0","1","","4","1.8","1.8","1469654971","1469654971","fa33276163ee25d0385fd0359f6f6d4f61f04477","master"
"x-stream/xstream","false","449","133","41","true","","x-stream/xstream","true","https://github.com/x-stream/xstream.git","2019-08-15T06:03:25Z","2686","31","21","1.21","18","1.7","1.7","1446332400","1562192198","47277a9a5fc25cc09371c812f4aa5e7c8a3e3709","master"
"yandex/yoctodb","false","67","13","8","true","","yandex/yoctodb","true","https://github.com/yandex/yoctodb.git","2019-08-02T13:10:31Z","277","11","6","1.21","18","1.8","","1459461600","1552476741","1f91a9e2c3f5677421fa586bdc138f9ae87b49aa","master"
"bdonlan/invokedynamic-proxy","false","4","4","2","true","","bdonlan/invokedynamic-proxy","true","https://github.com/bdonlan/invokedynamic-proxy.git","2019-01-25T09:59:50Z","51","4","2","01.06.2001","17","1.8","1.8","1427839200","1488655524","e590a7a6a111c894b6e93f8238d2fa8f5d41b812","master"
"DaanVanYperen/artemis-odb-contrib","false","53","16","10","true","","DaanVanYperen/artemis-odb-contrib","true","https://github.com/DaanVanYperen/artemis-odb-contrib.git","2019-07-20T11:17:50Z","347","11","6","0.9.5","17","1.7","1.7","1425164400","1546900966","19c06f07aed3536a672565d078f82308eb937b23","master"
"lotusws/btrace","true","0","0","1","true","btraceio/btrace","btraceio/btrace","","https://github.com/lotusws/btrace.git","2016-03-09T08:34:23Z","524","0","2","0.9.2","17","1.8","1.8","","","fefa9c75e1cc98718711585261200e1d1f09d25f","master"
"rschmitt/invokedynamic-proxy","true","0","0","1","true","bdonlan/invokedynamic-proxy","bdonlan/invokedynamic-proxy","","https://github.com/rschmitt/invokedynamic-proxy.git","2019-08-10T20:28:36Z","52","2","2","01.06.2001","17","1.8","1.8","","","1ff1b14c32d49caddad7b9587b6ea6b3495d924e","master"
"ThaBalla1148/artemis-odb-contrib","true","0","0","1","true","DaanVanYperen/artemis-odb-contrib","DaanVanYperen/artemis-odb-contrib","","https://github.com/ThaBalla1148/artemis-odb-contrib.git","2016-05-18T05:09:21Z","278","6","5","0.9.5","17","1.7","1.7","","","6edce7f69942e8c492c772f0c0dea2bbc7979b46","master"
"goldobin/resilience4j","true","0","0","1","true","resilience4j/resilience4j","resilience4j/resilience4j","","https://github.com/goldobin/resilience4j.git","2017-03-28T21:01:36Z","601","11","16","1.18","17","1.8","1.8","","","d24fd9fdcdb30c76ffa69e92c4a400844228ebab","master"
"mehtabsinghmann/resilience4j","true","0","0","1","true","resilience4j/resilience4j","resilience4j/resilience4j","","https://github.com/mehtabsinghmann/resilience4j.git","2018-04-13T22:52:14Z","704","12","24","1.18","17","1.8","1.8","","","8b3c1098adcc65f14df5f1011b30d0e449470202","master"
"ubschmidt2/instrumentation-java","true","0","0","1","true","census-instrumentation/opencensus-java","census-instrumentation/opencensus-java","","https://github.com/ubschmidt2/instrumentation-java.git","2017-04-28T20:33:22Z","846","6","10","1.19","17","1.6","1.6","","","6b46a4f68d9a42e0b3e36cd4f1fc3169bd7a57d6","master"
"piotr-j/artemis-odb-contrib","true","0","0","1","true","DaanVanYperen/artemis-odb-contrib","DaanVanYperen/artemis-odb-contrib","","https://github.com/piotr-j/artemis-odb-contrib.git","2015-08-02T19:04:02Z","279","4","5","0.9.5","17","1.7","1.7","","","a99561d782651f8a37624b563349f622e5dd5552","master"
"RichardWarburton/java-8-lambdas-exercises","false","1191","907","144","true","","RichardWarburton/java-8-lambdas-exercises","true","https://github.com/RichardWarburton/java-8-lambdas-exercises.git","2019-08-20T11:50:11Z","64","0","12","0.5.3","0","1.8","1.8","","1564048231","","master"
"gensym/hikesaber","false","0","0","1","true","","gensym/hikesaber","true","https://github.com/gensym/hikesaber.git","2015-06-01T00:28:41Z","63","0","0","","6","","","1433109600","1444790701","96e1eec7f74d8dde6b636683453b9f7334fbdbb3","master"
"apptik/RHub","false","68","6","8","true","","apptik/RHub","true","https://github.com/apptik/RHub.git","2019-03-20T21:56:37Z","119","4","2","1.19","16","1.8","1.8","1475272800","1521976676","c2a8afbca9fb8d58cebdf7919084b3defbb2b6ea","master"
"conversant/disruptor_benchmark","false","4","1","8","true","","conversant/disruptor_benchmark","true","https://github.com/conversant/disruptor_benchmark.git","2018-12-20T14:46:57Z","28","5","1","1.19","16","1.8","","1454281200","1545317211","5f66439d730ce498ddb8d8d0a82002aac8f15b39","master"
"curioswitch/curiostack","false","25","7","4","true","","curioswitch/curiostack","true","https://github.com/curioswitch/curiostack.git","2019-08-13T06:04:47Z","685","28","5","","16","1.8","1.8","1496268000","1566450170","b8829501a1ed4d92351a69a6f9f326cfebf34c81","master"
"dyu/protostuff","true","0","0","1","true","protostuff/protostuff","protostuff/protostuff","","https://github.com/dyu/protostuff.git","2016-05-18T12:56:26Z","1449","1","10","01.06.2001","16","1.6","","","","03762c65bbca4e0b3f832fef0f04e7bb6e86e7c1","master"
"bdobyns/OpenRQ","true","0","0","0","true","openrq-team/OpenRQ","openrq-team/OpenRQ","","https://github.com/bdobyns/OpenRQ.git","2015-07-09T22:47:13Z","238","13","1","","16","","","","","f42a57db60db7d30de0d9156e95a312964536c54","master"
"pstout/spectator","true","0","0","0","true","Netflix/spectator","Netflix/spectator","","https://github.com/pstout/spectator.git","2016-10-11T00:04:36Z","682","42","13","","16","1.8","1.8","","","d4dc9c79b72947050f422fe3ef15daa61300f378","master"
"morj/xodus","true","1","0","1","true","JetBrains/xodus","JetBrains/xodus","","https://github.com/morj/xodus.git","2015-09-23T12:49:35Z","491","0","10","0.9","16","","1.7","","","b7268bd1f1f95c7955d19ff5531a5464fa7706e2","master"
"myxyz/protostuff","true","0","0","1","true","protostuff/protostuff","protostuff/protostuff","","https://github.com/myxyz/protostuff.git","2015-09-30T09:50:10Z","1352","9","9","01.06.2001","16","1.7","","","","67b83cb40a27f40e425273ef2348becbdab8310c","master"
"thaibui/algorithms-core","false","0","0","1","true","","thaibui/algorithms-core","true","https://github.com/thaibui/algorithms-core.git","2017-04-12T02:36:41Z","61","0","1","01.11.2003","35","1.7","1.7","1459461600","1511414151","20302c60303c9737e63b0cc6905dba34f7c76db0","master"
"java8/Java8InAction","false","2236","1564","267","true","","java8/Java8InAction","true","https://github.com/java8/Java8InAction.git","2019-08-20T12:06:56Z","61","0","7","1.17.4","5","9","9","1487922753","1487922753","4786c46a24e2f7d0a749d34d585bb2c1d9f64c53","master"
"xiajunsongfan/scud","false","0","0","1","true","","xiajunsongfan/scud","true","https://github.com/xiajunsongfan/scud.git","2019-06-08T08:54:07Z","61","0","1","1.15","1","1.8","1.8","1485903600","1559984037","b74341d0048f92f431a4449ad9e402389aa6d131","master"
"davidmoten/audio-recognition","false","12","6","1","true","","davidmoten/audio-recognition","true","https://github.com/davidmoten/audio-recognition.git","2019-06-15T05:59:07Z","60","0","1","1.2","1","1.6","","1422156333","1422156333","16cbf2daa8ee12d87b6ca3a5f7fd33ee7880d2ba","master"
"areese/JavaTheCostOfDoingNothing","false","0","1","1","true","","areese/JavaTheCostOfDoingNothing","true","https://github.com/areese/JavaTheCostOfDoingNothing.git","2018-06-01T23:38:33Z","59","0","1","1.19","18","1.8","1.8","1456419796","1505665187","0cd504271cfcafad173d3ac500eb5afa9dfb4518","master"
"mp911de/logstash-gelf","false","277","60","15","true","","mp911de/logstash-gelf","true","https://github.com/mp911de/logstash-gelf.git","2019-08-17T09:38:56Z","452","33","21","1.21","16","1.6","1.6","1472680800","1564848459","a98a5783939e7329d7575f3d48aee41d12b034ad","master"
"openrq-team/OpenRQ","false","87","22","18","true","","openrq-team/OpenRQ","true","https://github.com/openrq-team/OpenRQ.git","2019-07-26T06:47:59Z","242","13","2","","16","","","1414796400","1511044976","45f4437ba96d7e69a6ee05a2e51cf79cda90448e","master"
"arnaudroger/mapping-benchmark","false","3","3","1","true","","arnaudroger/mapping-benchmark","true","https://github.com/arnaudroger/mapping-benchmark.git","2019-05-29T13:49:35Z","58","0","3","1.21","59","1.8","","1446332400","1559137759","33d9e8ac93783caa534b0603a11d66bc7ac379f9","master"
"protostuff/protostuff","false","1245","224","105","true","","protostuff/protostuff","true","https://github.com/protostuff/protostuff.git","2019-08-20T10:07:08Z","1505","28","16","01.06.2001","16","1.6","","1425164400","1553130695","af669cf089057d0ec83220266131ce411854af7b","master"
"Mojang/blixtser","false","59","8","17","true","","Mojang/blixtser","true","https://github.com/Mojang/blixtser.git","2019-07-20T11:07:37Z","58","0","2","01.01.2001","16","1.7","1.7","1415360809","1415360809","7f88f02f238751f55d705429cab7094e0e3a367c","master"
"thkluge/inspectIT","false","","","","false","","","","","","","","","","","","","","","",""
"rsocket/rsocket-java","false","1118","169","86","true","","rsocket/rsocket-java","true","https://github.com/rsocket/rsocket-java.git","2019-08-20T06:14:18Z","940","78","36","0.9","16","","1.8","1441058400","1566327110","2795c2f4bc788ec03670b57512a246e860978005","develop"
"cheremin/scalarization","false","4","1","1","true","","cheremin/scalarization","true","https://github.com/cheremin/scalarization.git","2019-03-27T06:59:38Z","57","0","1","1.14","0","1.7","1.7","","1476914519","","master"
"marcelodeolive1ra/DC-UFSCar-ES2-201601-GrupoHelloWorld","false","0","1","6","true","","marcelodeolive1ra/DC-UFSCar-ES2-201601-GrupoHelloWorld","true","https://github.com/marcelodeolive1ra/DC-UFSCar-ES2-201601-GrupoHelloWorld.git","2016-05-17T11:57:38Z","55","0","5","","4","1.8","1.8","1464732000","1466474755","4295ac8359646a49a3f9688698b98fa5771c40ea","master"
"udoprog/tiny-async-java","false","12","7","2","true","","udoprog/tiny-async-java","true","https://github.com/udoprog/tiny-async-java.git","2018-10-17T13:07:21Z","209","17","3","1.17.4","16","1.8","1.8","1433109600","1487095683","987706d4b7f2d13b45eefdc6c54ea63ce64b3310","master"
"XClouded/t4f-core","false","0","0","1","true","","XClouded/t4f-core","true","https://github.com/XClouded/t4f-core.git","2015-01-24T14:08:55Z","55","0","2","","0","1.5","1.5","","1415007442","","master"
"apache/calcite","false","1355","893","140","true","","apache/calcite","true","https://github.com/apache/calcite.git","2019-08-20T10:07:14Z","3542","74","196","1.12","15","","1.6","1454281200","1566442953","729446005617059c0ce9fef4068087e4ca9ca139","master"
"fnklabs/draenei","false","0","1","1","true","","fnklabs/draenei","true","https://github.com/fnklabs/draenei.git","2016-02-16T04:03:30Z","54","0","1","01.11.2002","0","","","","1459027694","","0.4"
"fabito/togglz","true","0","0","1","true","togglz/togglz","togglz/togglz","","https://github.com/fabito/togglz.git","2015-11-02T03:07:57Z","644","14","28","1.12","15","1.7","1.7","","","19ce72fbb169161217a2d04d32b86c43b264c162","master"
"gorcz/Hystrix","true","0","0","1","true","Netflix/Hystrix","Netflix/Hystrix","","https://github.com/gorcz/Hystrix.git","2015-05-18T15:15:52Z","1131","74","45","9","15","1.6","1.6","","","3246e46f18ee533db1a0c9dca6881ae7c8cb9ed8","master"
"eun-ice/netty","false","","","","false","","","","","","","","","","","","","","","",""
"louiscryan/grpc-java","true","0","2","1","true","grpc/grpc-java","grpc/grpc-java","","https://github.com/louiscryan/grpc-java.git","2016-02-17T18:58:23Z","1503","0","56","1.12","15","1.6","1.6","","","e276359f0e5eb34813a914a1cc1d8ec7deeedebe","master"
"DealerDotCom/togglz","true","0","0","26","true","togglz/togglz","togglz/togglz","","https://github.com/DealerDotCom/togglz.git","2016-05-12T18:24:44Z","613","18","24","1.12","15","1.7","1.7","","","cb8ea2eade8df7498a0876cfe1f614b0fde62730","master"
"julianhyde/calcite","true","4","3","2","true","apache/calcite","apache/calcite","","https://github.com/julianhyde/calcite.git","2019-08-20T03:42:36Z","3547","27","197","1.12","15","","1.6","","","fb781254796375ba79be074b0beb752a3e5e96f9","master"
"eclipse/eclipselink.runtime","false","","","","false","","","","","","","","","","","","","","","",""
"hexmind/togglz","true","0","0","1","true","togglz/togglz","togglz/togglz","","https://github.com/hexmind/togglz.git","2016-12-22T08:11:31Z","644","20","28","1.12","15","1.7","1.7","","","527631a25b8fdea6f24e5825b762423457517523","master"
"drmaas/resilience4j","true","0","0","1","true","resilience4j/resilience4j","resilience4j/resilience4j","","https://github.com/drmaas/resilience4j.git","2019-08-14T17:03:44Z","972","12","64","","15","1.8","1.8","","","b84a70a95fff1cd60d30c878d8deaafd710d535f","master"
"ceckhardt/orbit","true","1","1","3","true","orbit/orbit","orbit/orbit","","https://github.com/ceckhardt/orbit.git","2019-04-12T18:56:02Z","1570","71","24","1.12","15","1.8","","","","20b7caeffaec1766961da974bf9f14b36011007b","master"
"paychex/togglz","true","0","0","11","true","togglz/togglz","togglz/togglz","","https://github.com/paychex/togglz.git","2016-12-27T17:50:16Z","624","16","28","1.12","15","1.7","1.7","","","85126e1a650c84eeb069f934cd451bcf70bcc763","master"
"jpaw/jdp","false","2","0","1","true","","jpaw/jdp","true","https://github.com/jpaw/jdp.git","2019-06-25T18:57:45Z","135","27","2","","15","","","1425164400","1561489048","e8b339fd152905b7f0d1ec3d39f0c4d779e32cac","master"
"viniciusfbarbosa/DC-UFSCar-ES2-201601-Grupo-AMTV-","false","0","1","6","true","","viniciusfbarbosa/DC-UFSCar-ES2-201601-Grupo-AMTV-","true","https://github.com/viniciusfbarbosa/DC-UFSCar-ES2-201601-Grupo-AMTV-.git","2016-05-20T20:25:05Z","53","0","4","","4","1.8","1.8","1464732000","1466786424","c09eb74be30ff02f79d852f7170f7a812f1a2e76","master"
