"project","forked","stars","forks","watchers","repoAvailable","parentProject","rootProject","mainRepo","cloneUrl","lastUpdate","numberOfCommits","numberOfTags","numberOfContributors","jmhVersion","numberOfBenchmarks","javaTarget","javaSource","firstBenchmarkFound","lastCommit","lastCommitHash","defaultBranch"
"elBroom/atom","true","0","0","1","true","rybalkinsd/atom","rybalkinsd/atom","","https://github.com/elBroom/atom.git","2017-05-18T17:17:22Z","417","0","10","1.17.1","110","1.8","1.8","","","796dc5e90183ac3336f45019fe78360f9054683c","master"
"Teradata/presto","true","89","25","34","true","prestodb/presto","prestodb/presto","","https://github.com/Teradata/presto.git","2019-07-17T14:31:22Z","12584","277","199","","110","","","","","2152483ff3944410cc4163e564a8685e308f0c76","master"
"gjesse/RxJava","true","0","0","1","true","ReactiveX/RxJava","ReactiveX/RxJava","","https://github.com/gjesse/RxJava.git","2014-12-30T20:28:12Z","4158","120","92","","109","","","","","9549363c76d9201da38df90d9150d76d4398ada8","1.x"
"nkhuyu/RxJava","true","0","0","1","true","ReactiveX/RxJava","ReactiveX/RxJava","","https://github.com/nkhuyu/RxJava.git","2015-07-27T04:34:00Z","4211","129","92","","109","","","","","921b7e240d9687a8c2d5293e04323bed448f151d","1.x"
"Shedings/RxJava","true","0","0","1","true","ReactiveX/RxJava","ReactiveX/RxJava","","https://github.com/Shedings/RxJava.git","2015-07-23T02:57:41Z","4193","129","92","","109","","","","","12101824c5bae4fbc506b2bcf2a7b6a90b633afe","1.x"
"lijunhuayc/RxJava","true","0","0","0","true","ReactiveX/RxJava","ReactiveX/RxJava","","https://github.com/lijunhuayc/RxJava.git","2015-08-05T01:53:13Z","4220","129","93","","109","","","","","a3a0b1ff6a3e3a8ce185cce9c74f8b8f7826f10e","1.x"
"sposam/RxJava","true","0","0","1","true","ReactiveX/RxJava","ReactiveX/RxJava","","https://github.com/sposam/RxJava.git","2015-12-04T03:25:07Z","4211","129","92","","109","","","","","921b7e240d9687a8c2d5293e04323bed448f151d","1.x"
"srayhunter/RxJava","true","0","0","1","true","ReactiveX/RxJava","ReactiveX/RxJava","","https://github.com/srayhunter/RxJava.git","2015-05-29T05:50:09Z","4120","111","91","","109","","","","","4350f841258b6f2293e48201dd3bbad06e3ca684","1.x"
"frodoking/RxJava","true","0","0","1","true","ReactiveX/RxJava","ReactiveX/RxJava","","https://github.com/frodoking/RxJava.git","2015-07-26T03:36:22Z","4211","129","92","","109","","","","","921b7e240d9687a8c2d5293e04323bed448f151d","1.x"
"suclike/RxJava","true","0","0","1","true","ReactiveX/RxJava","ReactiveX/RxJava","","https://github.com/suclike/RxJava.git","2015-07-29T07:57:55Z","4216","129","92","","109","","","","","3494c00d0cf789533c6cb023c3464384dd2f23d7","1.x"
