project;commit;benchmark;params;meanDefault;meanCov;meanCi;meanKld;ciPercentageDefault;ciPercentageCov;ciPercentageCi;ciPercentageKld;effectSizeCov;effectSizeCi;effectSizeKld;wilcoxonCov;wilcoxonCi;wilcoxonKld;ratioMeanCov;ratioLowerCov;ratioUpperCov;ratioMeanCi;ratioLowerCi;ratioUpperCi;ratioMeanKld;ratioLowerKld;ratioUpperKld
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1&qType=MpscArrayQueue;4.6887928792879705E-7;4.66640728145634E-7;4.6501169999999686E-7;4.679289000000004E-7;0.0218428607382192;0.023160037944517754;0.01412238164619346;0.02750300248553032;0.03912349626641;0.1528053305330533;0.03261603160316032;1.6582730285562026E-6;3.819970255525268E-78;6.484952769558494E-5;1.00822;1.003322;1.013238;0.9956951;0.990608;0.9978636;1.001394;1.000294;1.003083
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneObjectArgBaseline;limit=1;3.808460846084714E-8;3.8089126738022585E-8;3.802610261026226E-8;3.8043600000001255E-8;0.060923678355463126;0.06396091503467004;0.07019363598454187;0.06122549233371137;2.0401159851905968E-4;0.023118193407499567;0.0200202;0.9800684497636545;0.004637711797693106;0.01421031876243386;0.9944727;0.9837616;1.005914;0.98563;0.9818499;0.9931989;0.9966948;0.9900298;1.000945
jctools;;org.jctools.jmh.throughput.MpqThroughputBackoffNone.cr;qCapacity=132000&qType=MpscArrayQueue;7.598487750781321E-8;7.937439516128898E-8;7.878593765762107E-8;7.76636088709662E-8;0.11266562050989176;0.12917354529345465;0.16434136867185867;0.12255461874426073;0.026715569500047154;0.025806317563874363;0.0237695563704156;0.0011192504784581334;0.0016482331447857522;0.003728064480708043;1.011209;1.009664;1.013656;0.984912;0.9272212;1.017503;0.9889299;0.9860364;1.004215
jctools;;org.jctools.jmh.throughput.MpqDrainFillThroughputBackoffNone.normal;qCapacity=132000&qType=MpscArrayQueue;2.282897360703868E-7;2.240691519635775E-7;2.1124328639861051E-7;2.9517405437352883E-7;0.2772788128255155;0.21734401796454084;0.26631980430371927;0.35176823333604074;0.08051843735239185;0.004167977425016464;0.05581061427407221;2.3145416780797567E-16;0.6725814140202168;1.702372651732877E-8;1.055988;1.050815;1.070269;1.000751;0.974989;1.011348;1.384026;1.246618;1.422019
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArg;limit=1;6.724997497246979E-8;6.556218706188738E-8;6.743307322929192E-8;6.801921344941575E-8;0.06909355973671753;0.109272702301827;0.11077292315062262;0.20045939906559615;0.045906535643042715;0.017740693233945896;0.011455322377490156;1.9237329824742062E-8;0.029862234179195198;0.16075743121752017;0.9832995;0.97072;0.9988287;0.9978537;0.980329;1.013312;1.015796;0.9775421;1.081824
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline;limit=128000;3.911582316463307E-8;3.892670000000068E-8;3.913620000000031E-8;3.950735073507278E-8;0.036922562604039796;0.03530042957052708;0.02531281038606885;0.034393655028228165;0.07232387477495499;0.060503280656131225;0.23137953795379537;8.207495075095092E-19;1.2672633827043939E-13;1.2217199180858512E-176;0.9998673;0.9804967;1.009805;1.002567;0.9804611;1.009771;1.00212;0.9907201;1.015954
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=10&qType=SpmcArrayQueue;1.021375500000005E-6;1.0213062000000096E-6;1.0061318131813246E-6;1.0067170000000045E-6;0.04180636178665062;0.06050675345491512;0.0769419917512711;0.0878612578989862;0.02151307;0.08262815281528153;0.07841978197819782;0.008420265951463717;4.534878859042296E-24;7.694379974204773E-22;1.00521;1.000761;1.008318;0.9772478;0.9642211;0.9922104;0.9817121;0.9429345;1.014796
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1000&qType=MpscArrayQueue;5.3223039999999835E-5;5.3876847999999855E-5;5.35823488E-5;5.4099679999999815E-5;0.11802851088760034;0.02440779462158417;0.12799999999999997;0.024118189884780622;0.02122456;0.06411324;0.03363069;0.009338630743134454;4.093242505088579E-15;3.808529226654346E-5;0.9958573;0.976181;1.040269;1.006324;1.003533;1.018923;1.008609;0.986422;1.054816
jctools;;org.jctools.jmh.throughput.MpqThroughputBackoffNone.nor;qCapacity=132000&qType=SpmcArrayQueue;1.7398280000000203E-7;1.6149979991996968E-7;1.6933436687337716E-7;1.6077305461092417E-7;0.20868338379131673;0.13982147025443298;0.19006292139877057;0.09855474397965787;0.04654984993997599;0.011054630926185237;0.04925357508745473;1.1948723111552437E-8;0.1757974169957176;1.6224066412602915E-9;0.9484306;0.9366078;0.9532198;1.010525;0.9996648;1.022767;0.9723757;0.9604885;0.9746287
jctools;;org.jctools.jmh.throughput.MpqThroughputBackoffNone.nor;qCapacity=132000&qType=MpscArrayQueue;9.71311841038129E-8;9.372671693498936E-8;7.564465059998148E-8;8.144632196701538E-8;0.8916087087199562;0.7049935327385722;1.257092442156081;1.1277917090304037;0.12389832473628302;0.17282525456013215;0.16691236708063018;3.384992836451976E-51;2.2930695528150425E-98;1.160225130960969E-91;0.7632938;0.7310407;0.9634846;0.681395;0.4683628;0.9403578;0.7005658;0.5498308;0.885499
