project;commit;benchmark;params;threshold;f2;f3;f4;f5;reachedForks;reachedF1;reachedF2;reachedF3;reachedF4;reachedF5
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneObjectArgBaseline;limit=1;0.99;0.3274319043416446;0.9280424868186884;0.9196784418638062;0.9380710612880891;2147483647;14;10;14;9;12
jctools;;org.jctools.jmh.throughput.MpqThroughputBackoffNone.cr;qCapacity=132000&qType=MpscArrayQueue;0.99;0.9886372539639181;0.9937373711705125;0.998412373103948;0.9892890667358633;3;7;6;10;19;22
jctools;;org.jctools.jmh.throughput.MpqDrainFillThroughputBackoffNone.normal;qCapacity=132000&qType=MpscArrayQueue;0.99;0.5456553100286903;0.962445839676991;0.9953174778874891;0.9959077900727666;4;23;31;26;17;15
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArg;limit=1;0.99;0.9944055703208332;0.9904434923884501;0.9888300785331806;0.9981238199404662;2;23;11;18;7;10
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline;limit=128000;0.99;0.9122688412225144;0.380809823537399;0.9026545570548882;0.9780080264236352;2147483647;6;10;10;8;24
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=10&qType=SpmcArrayQueue;0.99;0.8991037997792375;0.9936918910901847;0.9832154061853473;0.9865570854248468;3;17;17;11;12;16
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1000&qType=MpscArrayQueue;0.99;0.9214458029669236;0.9929063261161664;0.9122266700783326;0.9858145605897294;3;11;18;19;12;16
jctools;;org.jctools.jmh.throughput.MpqThroughputBackoffNone.nor;qCapacity=132000&qType=SpmcArrayQueue;0.99;0.9135173859912632;0.9909236513303684;0.9906985572067986;0.9969221521759285;3;13;7;8;20;8
jctools;;org.jctools.jmh.throughput.MpqThroughputBackoffNone.nor;qCapacity=132000&qType=MpscArrayQueue;0.99;0.9813294599659144;0.9469374025013098;0.09820053828592445;0.963710352171794;2147483647;29;21;13;11;22
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.unalignedPrimitiveArgs;limit=1;0.99;0.9906527442382221;0.9948786000177503;0.9940277596099293;0.9951477465258455;2;6;6;6;6;6
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.tenMixedArgs;limit=10000;0.99;0.9925422342573627;0.9989619750203492;0.9986071098679563;0.9976256788541482;2;6;6;6;6;6
jctools;;org.jctools.jmh.throughput.MpqThroughputBackoffNone.pr;qCapacity=132000&qType=SpmcArrayQueue;0.99;0.9820295083155043;0.9890432553461588;0.9825690574773428;0.9884412467346325;2147483647;12;11;17;6;14
jctools;;org.jctools.jmh.collections.ConcurrentSetThroughput.rw;implementation=ConcurrentHashSet&readRatio=75&tableSize=100000;0.99;0.9919609132377702;0.9958893828091788;0.996992319171519;0.9962286359169116;2;6;6;6;6;6
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArgBaseline;limit=1;0.99;0.9988554973418882;0.5492328811522954;0.9871666477411282;0.9484432157499152;2;14;13;11;10;9
jctools;;org.jctools.jmh.throughput.MpqDrainFillThroughputBackoffNone.normal;qCapacity=132000&qType=MpmcArrayQueue;0.99;0.41002590270201567;0.9085135448785383;0.2459675702881092;0.47493242185056866;2147483647;9;2147483647;2147483647;14;7
