project;commit;benchmark;params;f1;f2;f3;f4;f5
jmh-jdk-microbenchmarks;;org.openjdk.bench.vm.lambda.invoke.Function1.mref_bndIL_IL;;15;8;8;8;8
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.lang.invoke.MethodHandlesSpreadInvoker.testInvoker;;15;13;31;15;16
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.lang.invoke.MethodTypeAcquire.testSinglePType;;10;12;12;8;16
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.util.stream.pipeline.PipelineSetup.seq_test01;size=100000;2147483647;2147483647;9;2147483647;16
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.lang.ArrayCopyUnalignedBoth.testLong;length=5;16;12;11;14;14
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.util.stream.pipeline.Terminal.baseline_prim_sink;size=100000;6;6;6;6;7
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.util.stream.pipeline.PipelineSetup.par_test04;size=100000;6;21;24;25;6
jmh-jdk-microbenchmarks;;org.openjdk.bench.vm.compiler.InterfaceCalls.testCallPoly5;;35;13;15;2147483647;17
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.lang.invoke.CallSiteSetTargetSelf.baselineRaw;;12;16;19;9;8
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.lang.invoke.MethodHandleConvertCast.test_2_MTConvert;;12;10;18;17;2147483647
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.nio.ByteBuffers.testDirectSingleGetDouble;size=10;19;14;2147483647;16;29
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.security.MessageDigests.digest;digesterName=md5&length=16384&provider=DEFAULT;13;14;14;13;14
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.lang.Systems.currentTimeMillis;;10;15;13;17;13
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.util.stream.ops.value.FindFirst.par_invoke;size=100000;12;10;13;19;12
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.lang.invoke.MethodHandleProxiesSuppl.testIsWrapperInstance;;24;14;17;21;13
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.nio.ByteBuffers.testSingleGetInt;size=1000;12;9;8;11;14
jmh-jdk-microbenchmarks;;org.openjdk.bench.vm.compiler.WriteBarrier.testArrayWriteBarrierFastPathRealLarge;;16;13;14;47;15
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.util.stream.ops.ref.AllMatchShort.seq_mid;offset=100&size=100000;41;33;31;19;24
jmh-jdk-microbenchmarks;;org.openjdk.bench.javax.crypto.Crypto.encrypt;cipherName=Blowfish&length=1024;19;14;18;14;2147483647
jmh-jdk-microbenchmarks;;org.openjdk.bench.vm.compiler.Multiplication.testLongBigVariableSmallConstantMul;arraySize=500;14;17;19;15;24
jmh-jdk-microbenchmarks;;org.openjdk.bench.vm.lambda.capture.Capture0.lambda_01;;22;27;12;17;14
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.util.GregorianCalendars.testUpdate;;2147483647;2147483647;2147483647;19;2147483647
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.nio.ByteBuffers.testSinglePutByte;size=10;24;33;15;18;21
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.util.concurrent.Locks.testAbstractQueueSynchronizer;;15;29;16;15;12
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.util.stream.ops.ref.Map.seq_invoke;size=100000;22;43;19;42;19
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.nio.ByteBuffers.testDirectBulkPut;size=10;22;16;15;14;27
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.lang.invoke.MethodHandleProxiesSuppl.testInstanceType;;14;11;9;10;6
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.lang.ArrayCopyAligned.testLong;length=1200;17;12;8;17;27
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.util.stream.pipeline.Terminal.par_into;size=100000;30;20;33;15;19
jmh-jdk-microbenchmarks;;org.openjdk.bench.java.util.stream.tasks.IntegerSum.Lambda.bulk_par_mref;;10;26;30;16;13
