project;commit;benchmark;params;threshold;f2;f3;f4;f5;reachedForks;reachedF1;reachedF2;reachedF3;reachedF4;reachedF5
squidlib;;squidpony.performance.NoiseBenchmark.measureFastNoise3D;;0.01;0.005934485074904461;0.013016965019660376;0.011874509720361415;0.002563793589779567;2;12;16;15;12;14
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringSquidMildOM;NEED_TO_ENLARGE=2&SIZE=65536;0.01;0.08240140278069696;0.02024866803285935;0.009954804380780141;0.005364708336654672;4;12;8;10;19;9
squidlib;;squidpony.performance.HashBenchmark.doCharJDK32;;0.01;0.006617250043915446;0.00230976629182042;0.002110690003733512;0.0023131150491521035;2;19;25;10;18;19
squidlib;;squidpony.performance.FOVCacheBenchmark.measureFOV16;;0.01;0.0036062777513542954;3.1843744612680084E-4;5.460605675187353E-4;5.000606318947319E-4;2;11;11;12;12;13
squidlib;;squidpony.performance.HashBenchmark.doLongJDK32Mixed;;0.01;0.01650207026191952;0.0011329302155840826;0.0014522612400807433;0.0032730248700922893;3;19;22;19;24;13
squidlib;;squidpony.performance.HashBenchmark.doWater32;;0.01;0.003831118477779949;0.017847411634100335;0.0027832988512067613;0.0014354203291777334;2;6;16;14;19;5
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringSquidMildOM;NEED_TO_ENLARGE=0&SIZE=65536;0.01;0.0022219532089920446;8.270474035415032E-4;0.006936575283388424;0.0018973722725123543;2;9;11;14;9;8
squidlib;;squidpony.performance.CoordPackerBenchmark.doFloodG;;0.01;0.020710577220477033;0.048288492973945996;0.004827476255227808;0.006869420748258137;4;10;8;9;7;17
squidlib;;squidpony.performance.HashBenchmark.doCharMist64;;0.01;0.008164220098047487;0.0018896279195475263;0.005796898586789889;2.6538909069367955E-5;2;22;21;28;29;25
squidlib;;squidpony.performance.HashBenchmark.doIntWater64;;0.01;0.0021745029058935494;0.006560292046723648;7.681631391506794E-4;8.298322002936454E-5;2;25;12;13;13;20
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidOS;NEED_TO_ENLARGE=0&SIZE=65536;0.01;0.0134935223291896;0.01389190918126984;0.09261599661066591;0.010593737369283374;2147483647;7;23;18;20;20
squidlib;;squidpony.performance.RNGBenchmark.measureXoRo;;0.01;0.002107661373723764;0.0016834834619986888;8.43398413531482E-4;4.3926843633781965E-4;2;28;17;21;15;25
squidlib;;squidpony.performance.HashBenchmark.doLongWisp64;;0.01;0.040693367500212685;2.841887226119333E-4;0.008080760033862211;0.005216630066085026;3;21;29;29;32;28
squidlib;;squidpony.performance.LOSBenchmark.measureDDA;;0.01;0.06891736028592121;0.004596761621925016;0.004622272490547433;1.1243559857002094E-4;3;5;11;5;12;5
squidlib;;squidpony.performance.HashBenchmark.doIntLightning64;;0.01;0.014469810208966705;5.092763321253857E-4;6.288916590208027E-4;0.0020658154010022023;3;16;14;20;14;19
squidlib;;squidpony.performance.CoordPackerBenchmark.measureMixedSeparatedAltG;;0.01;0.0027697599910596615;0.0017628761820964178;0.0016758292127637409;3.638003140220003E-4;2;8;10;7;8;10
squidlib;;squidpony.performance.HashBenchmark.doWater64;;0.01;0.0032127169990901205;0.006979661016824179;0.029144501040080817;0.005576898715623058;2;26;22;25;26;26
squidlib;;squidpony.performance.CoordPackerBenchmark.measureZCurveRegionG;;0.01;0.006353602069423082;0.0026429603228049978;0.0013438979076334824;5.823365789628908E-4;2;13;14;13;15;14
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerGdxOS;NEED_TO_ENLARGE=0&SIZE=65536;0.01;0.01465725002622914;0.006288134977434717;0.01031406353636638;0.004490509663100772;3;20;16;19;18;24
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerGdxOS;NEED_TO_ENLARGE=2&SIZE=65536;0.01;0.02714501840492059;0.010534531373141753;0.003457081578989607;0.003388097463839751;4;21;10;19;13;17
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringSquidMildOS2;NEED_TO_ENLARGE=1&SIZE=65536;0.01;0.012698027326871461;0.003061749463795227;0.007717737800166852;0.0019308250523493442;3;15;10;7;14;19
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerGdxOM2;NEED_TO_ENLARGE=2&SIZE=65536;0.01;0.01637105687241283;0.0016089514028113927;0.005626542436368787;0.0011969988411137111;3;18;7;15;18;18
squidlib;;squidpony.performance.WaypointBenchmark.measureWaypoint3;;0.01;0.002814747627020199;0.009470354118100738;0.0010343600102145425;1.237217721579871E-4;2;21;24;23;21;24
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashMap2;NEED_TO_ENLARGE=1&SIZE=65536;0.01;0.011724119372352515;0.011836524688433048;0.03965919090839615;0.0013088339462178356;5;24;23;10;11;6
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringSquidDefaultOS3;NEED_TO_ENLARGE=0&SIZE=65536;0.01;0.007014968462186882;0.0016473053873406474;0.01255771264494468;0.004011076966215388;2;9;14;17;15;8
squidlib;;squidpony.performance.RNGBenchmark.measureLathe32IntR;;0.01;9.489275796937847E-4;0.0026994481939154116;0.003940151131706291;0.0012256040291005188;2;17;23;21;22;25
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashMap;NEED_TO_ENLARGE=2&SIZE=65536;0.01;0.06257502548173147;0.005103455873675583;0.01736911114400355;0.009300832973073936;3;6;19;14;13;5
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidOM2;NEED_TO_ENLARGE=0&SIZE=65536;0.01;0.03312521972590532;0.008141041418801898;0.007692243605147864;0.004347366761945359;3;22;12;15;24;15
squidlib;;squidpony.performance.HashBenchmark.doCharHive32;;0.01;8.653412706833286E-4;0.0024631806772060505;0.0036151494783920046;0.0011784931984505365;2;18;10;7;17;5
squidlib;;squidpony.performance.HashBenchmark.doCharWater64;;0.01;0.006429408919687629;0.008302547269266408;2.0257107425480925E-5;0.009415353787818631;2;14;19;13;16;17
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringLinkedHashSet2;NEED_TO_ENLARGE=2&SIZE=65536;0.01;0.01620836771836172;0.004652772603034608;0.003307654613102312;0.0019753996470410345;3;18;18;16;16;6
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerGdxOM2;NEED_TO_ENLARGE=1&SIZE=65536;0.01;0.0032152825658126882;0.0029586805662003834;0.036604701680702595;0.007335679891577823;2;23;17;16;23;10
squidlib;;squidpony.performance.LOSBenchmark.measureOrtho;;0.01;0.034847661013511444;0.0041174562144905;3.4171392995750727E-4;0.018602063976909604;3;5;5;5;5;10
squidlib;;squidpony.performance.MathBenchmark.measureSinGdx;;0.01;0.03404751776942314;0.008227281350018947;0.0011982658919658246;0.0037645385207262447;3;21;24;27;24;19
squidlib;;squidpony.performance.DataStructureBenchmark.insertStringSquidMildOS;NEED_TO_ENLARGE=2&SIZE=65536;0.01;0.0018803936787830586;0.02046411212530938;0.006183764231814173;0.001294210919083924;2;14;11;15;8;13
squidlib;;squidpony.performance.DijkstraBenchmark.doTinyPathOtherDijkstra;;0.01;0.008363598082642724;0.020721549517481303;0.0039246078600743695;1.1277977149203033E-4;2;21;22;15;18;20
squidlib;;squidpony.performance.HashBenchmark.doIntSirocco64;;0.01;0.014078235669770678;0.0034245083825981126;0.003842058771029444;0.00229900546285422;3;26;23;21;23;21
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerSquidOS2;NEED_TO_ENLARGE=2&SIZE=65536;0.01;0.0054661315371011265;0.0285523816100397;0.014881192417146194;0.011286526558823617;2;15;7;12;13;18
squidlib;;squidpony.performance.DataStructureBenchmark.insertIntegerGdxOS2;NEED_TO_ENLARGE=0&SIZE=65536;0.01;0.009673433320456601;0.021104628292851466;0.024943056479500014;0.004948217913477798;2;18;18;10;7;11
squidlib;;squidpony.performance.HashBenchmark.doLongJolt64;;0.01;0.01529254924764828;0.008521839890849259;0.00636248305236109;0.008208025460233304;3;18;21;21;19;15
