project;benchmark;params;changeRateCov;forksCov;changeRateCi;forksCi;changeRateDivergence;forksDivergence
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgsBaseline;limit=1;0.01435352212418417;4;3.1218629986184965E-4;5;0.001077035521234615;5
jctools;org.jctools.channels.spsc.QueueThroughputBaseline.tpt;qCapacity=128000&qType=SpscArrayQueue;0.0360287328198543;5;0.004316029198031646;5;0.001531598557340974;4
jctools;org.jctools.jmh.throughput.MpqThroughputBackoffNone.nor;qCapacity=132000&qType=MpmcArrayQueue;0.07696679952828056;3;0.012270365744749379;5;0.06634745653140417;2
jctools;org.jctools.jmh.baseline.SingleThreadedOffer.offerLoop;qType=SpscArrayQueue;8.98966188883854E-4;3;4.9942566048621906E-5;2;0.028966688308456057;2
jctools;org.jctools.jmh.latency.spsc.RingCqBurstRoundTripWithGroups.ring;;0.014876159783015375;3;0.010136526930688672;5;0.02726569218607;5
jctools;org.jctools.jmh.latency.spsc.RingBurstRoundTripWithGroups.ring;;0.03189900290538128;5;0.0019607799011909233;4;0.018095271835699256;5
jctools;org.jctools.jmh.latency.MpqBurstCost.burstCost;burstSize=100&consumerCount=1&qType=MpscArrayQueue;0.10089710632480264;4;0.03376652791859913;2;0.14642313191741907;2
jctools;org.jctools.jmh.baseline.SingleThreadedPoll.poll;qType=MpscArrayQueue;7.48727163821683E-4;2;4.4923629829263234E-4;2;1.497454327643588E-4;2
jctools;org.jctools.jmh.throughput.MpqDrainFillThroughputBackoffNone.normal;qCapacity=132000&qType=SpmcArrayQueue;0.08874559733344323;2;0.02729291878429585;5;0.03264806192125003;3
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArg;limit=128000;0.06853062511341212;4;0.004040787981015148;5;0.032715335196793593;3
jctools;org.jctools.maps.nbhm_test.jmh.ConcurrentMapThroughput.randomGetPutRemove;implementation=ConcurrentHashMap&readRatio=50&tableSize=100000;0.007764856627618277;5;5.245757456060485E-4;5;0.020978101039303754;3
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneReferenceArgBaseline;limit=1;0.0011578184186560314;4;0.007496404796344391;2;0.001148598957167568;5
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.unalignedPrimitiveArgsBaseline;limit=128000;0.003910663218496868;2;0.0037405736290159197;2;1.7996785231488843E-4;5
jctools;org.jctools.jmh.baseline.SingleThreadedOffer.offerLoop;qType=SpmcArrayQueue;6.489292667102298E-4;2;3.993410872065173E-4;2;0.0022462936155349666;2
jctools;org.jctools.jmh.throughput.QueueThroughputBackoffNone.tpt;qCapacity=132000&qType=SpscArrayQueue;0.025056186609939357;4;0.022565267640405562;5;0.02555521693007401;4
jctools;org.jctools.jmh.baseline.QueueOfferPoll.offerAndPollLoops;burstSize=1&qCapacity=132000&qType=MpscArrayQueue;0.005477738941268351;2;0.0015070280595562702;2;0.015202101172448912;5
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgs;limit=1;0.014151767317026498;5;4.448092508525514E-4;5;0.02659577583446948;5
jctools;org.jctools.jmh.latency.MpqBurstCost.burstCost;burstSize=100&consumerCount=1&qType=SpscArrayQueue;0.016952423176411546;3;0.009386744929230861;5;0.025221072645944975;3
jctools;org.jctools.jmh.latency.QueueBurstCost.burstCost;burstSize=100&consumerCount=1&qCapacity=132000&qType=SpscArrayQueue&warmup=true;0.005303947378447305;5;5.732082361604718E-4;4;0.008633865161770338;2
jctools;org.jctools.jmh.collections.ConcurrentSetThroughput.rw;implementation=SingleWriterHashSet&readRatio=75&tableSize=100000;0.0018734600804438672;3;0.002500632672472247;5;0.0016634992004129767;3
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.unalignedPrimitiveArgs;limit=128000;0.06191017551765554;2;0.002253172151918781;5;0.0828979870950044;2
jctools;org.jctools.jmh.collections.SetOps.add;keyBound=2048&occupancy=512&size=1024&type=org.jctools.sets.OpenHashSet;0.006466617190081125;2;0.025405624319725373;5;0.020522186194836367;5
jctools;org.jctools.jmh.throughput.MpqThroughputBackoffNone.bothr;qCapacity=132000&qType=SpscArrayQueue;0.002328300398192429;4;0.01603167236982128;5;0.012942532834721687;3
jctools;org.jctools.jmh.baseline.SingleThreadedPoll.poll;qType=SpmcArrayQueue;7.188570173424225E-4;2;7.887458940292191E-4;2;8.885871464379136E-4;2
jctools;org.jctools.jmh.throughput.MpqThroughputBackoffNone.cr;qCapacity=132000&qType=SpscArrayQueue;0.029977213784338486;3;0.02721612363350001;5;0.05255544005091117;5
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.noArgs;limit=1;0.03280116915614639;3;0.0019123080846590312;5;0.0016713744098288963;2
jctools;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=100&qType=MpmcArrayQueue;0.012697829116410597;2;0.0012052844600578538;5;0.011268539796313481;2
jctools;org.jctools.jmh.baseline.SingleThreadedPoll.poll;qType=SpscArrayQueue;2.4977520231805883E-4;3;0.0017484264162259677;2;0.0012488760115900721;2
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.noArgs;limit=10000;0.03359826704431956;4;0.032192362742289315;5;0.049262224894716655;2
jctools;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1&qType=MpmcArrayQueue;2.0489840055470943E-4;4;0.0022546796761684362;5;0.005204482325885995;4
jctools;org.jctools.jmh.throughput.MpqThroughputBackoffNone.bothr;qCapacity=132000&qType=MpscArrayQueue;0.027254861049211376;5;0.007735484795201031;5;0.0164233088022403;3
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneObjectArg;limit=10000;0.020627287684298667;2;0.010409408531734776;5;0.03269132341786063;2
jctools;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.onePrimitiveArg;limit=10000;0.03839313561961899;3;0.0014261151738557132;5;0.05779244949214646;2
jctools;org.jctools.channels.spsc.SpscProxyChannelBenchmark.noArgs;limit=128000;0.0518583784779707;2;0.06472442364059083;5;0.010373302946210972;5
jctools;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=10&qType=SpscArrayQueue;0.009256661171322289;4;0.0011412683591738304;5;2.906363652723787E-4;5
