project;commit;benchmark;params;percentage;cov;ci;divergence
;;io.reactivex.CallableAsyncPerf.pipelineCompletable;;1.565971955;0.187013292;0.021118904;0.991006765
;;io.reactivex.CallableAsyncPerf.pipelineFlowable;;0.912298183;0.359775383;0.040950634;0.998659341
;;io.reactivex.CallableAsyncPerf.pipelineMaybe;;1.010660251;0.243604079;0.022429648;0.995663448
;;io.reactivex.CallableAsyncPerf.pipelineObservable;;0.970261793;0.231357499;0.023609853;0.997821565
;;io.reactivex.CallableAsyncPerf.pipelineSingle;;1.076002905;0.231337664;0.025813721;0.989131695
;;io.reactivex.CallableAsyncPerf.subscribeOnCompletable;;1.19178024;0.339760672;0.048336612;0.997333368
;;io.reactivex.CallableAsyncPerf.subscribeOnFlowable;;1.058246437;0.524211711;0.076046247;0.997709415
;;io.reactivex.CallableAsyncPerf.subscribeOnMaybe;;1.193622173;0.347280642;0.098243778;0.99011021
;;io.reactivex.CallableAsyncPerf.subscribeOnObservable;;0.952417041;0.339870789;0.062644423;0.993720203
;;io.reactivex.CallableAsyncPerf.subscribeOnSingle;;1.17712093;0.315598109;0.089902012;0.996658513
;;io.reactivex.EachTypeFlatMapPerf.bpRange;times=1;0.99868917;0.204183229;0.018162724;0.999594888
;;io.reactivex.EachTypeFlatMapPerf.bpRange;times=1000;0.971762807;0.233350685;0.028657034;0.999134447
;;io.reactivex.EachTypeFlatMapPerf.bpRange;times=1000000;0.745131427;0.081755394;0.013579067;0.997026006
;;io.reactivex.EachTypeFlatMapPerf.bpRangeMapJust;times=1;1.057848514;0.173771211;0.014275353;0.999187631
;;io.reactivex.EachTypeFlatMapPerf.bpRangeMapJust;times=1000;1.010077453;0.07485473;0.007169538;0.999200506
;;io.reactivex.EachTypeFlatMapPerf.bpRangeMapJust;times=1000000;0.981506772;0.054732583;0.008638459;0.985898653
;;io.reactivex.EachTypeFlatMapPerf.bpRangeMapRange;times=1;0.899472941;0.211725544;0.020315422;0.999550357
;;io.reactivex.EachTypeFlatMapPerf.bpRangeMapRange;times=1000;0.993766468;0.040812914;0.006041837;0.999717476
;;io.reactivex.EachTypeFlatMapPerf.bpRangeMapRange;times=1000000;0.994614555;0.02525787;0.008815738;0.985786187
;;io.reactivex.EachTypeFlatMapPerf.nbpRange;times=1;1.018183915;0.186238502;0.015577418;0.999346234
;;io.reactivex.EachTypeFlatMapPerf.nbpRange;times=1000;0.942760627;0.166294834;0.01820253;0.9986332
;;io.reactivex.EachTypeFlatMapPerf.nbpRange;times=1000000;1.367002976;0.071013663;0.01235476;0.999310184
;;io.reactivex.EachTypeFlatMapPerf.nbpRangeMapJust;times=1;0.999063586;0.199446615;0.01871857;0.999324212
;;io.reactivex.EachTypeFlatMapPerf.nbpRangeMapJust;times=1000;0.983030236;0.09653774;0.012688547;0.99905664
;;io.reactivex.EachTypeFlatMapPerf.nbpRangeMapJust;times=1000000;1.080962352;0.063985662;0.024033419;0.937775273
;;io.reactivex.EachTypeFlatMapPerf.nbpRangeMapRange;times=1;1.012495704;0.118300225;0.011164337;0.99934891
;;io.reactivex.EachTypeFlatMapPerf.nbpRangeMapRange;times=1000;0.937104379;0.0405011;0.008024161;0.997585982
;;io.reactivex.EachTypeFlatMapPerf.nbpRangeMapRange;times=1000000;0.961062146;0.029716419;0.009450224;0.98877001
;;io.reactivex.EachTypeFlatMapPerf.singleJust;times=1;0.99381131;0.161115455;0.01413761;0.525365434
;;io.reactivex.EachTypeFlatMapPerf.singleJust;times=1000;1.006815776;0.135661754;0.010619184;0.999138871
;;io.reactivex.EachTypeFlatMapPerf.singleJust;times=1000000;0.991167671;0.182184736;0.015522305;0.998913777
;;io.reactivex.EachTypeFlatMapPerf.singleJustMapJust;times=1;1.019204189;0.178927476;0.018622809;0.997782974
;;io.reactivex.EachTypeFlatMapPerf.singleJustMapJust;times=1000;1.00903524;0.136404054;0.010297445;0.999478318
;;io.reactivex.EachTypeFlatMapPerf.singleJustMapJust;times=1000000;1.017444021;0.133692852;0.011038294;0.999130943
;;io.reactivex.FlatMapJustPerf.flowable;times=10;1.688777032;0.302703496;0.037028777;0.998840682
;;io.reactivex.FlatMapJustPerf.flowable;times=100;1.711229818;0.290057253;0.027924143;0.99707548
;;io.reactivex.FlatMapJustPerf.flowable;times=1000;1.911587403;0.278863961;0.046168463;0.998496314
;;io.reactivex.FlatMapJustPerf.flowable;times=10000;1.842338662;0.296769161;0.049544517;0.999541246
;;io.reactivex.FlatMapJustPerf.flowable;times=100000;1.907019579;0.273739544;0.064403279;0.996808934
;;io.reactivex.FlatMapJustPerf.flowable;times=1000000;1.836304602;0.292046717;0.03845377;0.997566085
;;io.reactivex.FlatMapJustPerf.observable;times=10;1.577338112;0.286816208;0.032940249;0.998617853
;;io.reactivex.FlatMapJustPerf.observable;times=100;2.115069416;0.238121784;0.043345048;0.998561129
;;io.reactivex.FlatMapJustPerf.observable;times=1000;1.836194975;0.320126089;0.049051512;0.996999169
;;io.reactivex.FlatMapJustPerf.observable;times=10000;1.763192515;0.350696998;0.045922974;0.999294936
;;io.reactivex.FlatMapJustPerf.observable;times=100000;1.804474574;0.341167436;0.044691662;0.998674192
;;io.reactivex.FlatMapJustPerf.observable;times=1000000;1.769500376;0.312805492;0.039854257;0.997968833
;;io.reactivex.FlattenCrossMapPerf.flowable;times=1;1.012447653;0.026041079;0.002689288;1
;;io.reactivex.FlattenCrossMapPerf.flowable;times=10;0.997648103;0.016546218;0.001543522;0.999002484
;;io.reactivex.FlattenCrossMapPerf.flowable;times=100;1.137488216;0.018984128;0.001795658;0.999449917
;;io.reactivex.FlattenCrossMapPerf.flowable;times=1000;0.999503309;0.008999019;0.001053376;0.997632205
;;io.reactivex.FlattenCrossMapPerf.flowable;times=10000;0.993153326;0.017674948;0.00238141;0.913645498
;;io.reactivex.FlattenCrossMapPerf.flowable;times=100000;0.994277755;0.041136513;0.00527711;0.997880422
;;io.reactivex.FlattenCrossMapPerf.flowable;times=1000000;0.873513186;0.065678061;0.017852153;0.997716491
