project;commit;benchmark;params;i96Cov;i97Cov;i98Cov;i99Cov;i100Cov;maxDeltaCov;i96Ci;i97Ci;i98Ci;i99Ci;i100Ci;maxDeltaCi;maxCi;i96Divergence;i97Divergence;i98Divergence;i99Divergence;i100Divergence;averageDivergence
rxjava;;io.reactivex.EachTypeFlatMapPerf.nbpRangeMapJust;times=1000000;0.172701069;0.173273722;0.173796442;0.174289122;0.17487878;0.002177711;0.051402386;0.046251686;0.053039016;0.045762343;0.054215203;0.00845286;0.054215203;0.996383463;0.495556819;0.322378554;0.74208978;0.721968006;0.655675324
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithoutProperties;count=5&threadContextMapAlias=CopyOpenHash;0.147426591;0.146682747;0.145982887;0.145263236;0.144575381;0.00285121;0.003931024;0.005549141;0.003565679;0.008714381;0.004060952;0.004653428;0.008714381;0.963894663;0.669017348;0.670662835;0.672644429;0.919640434;0.779171942
log4j2;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArrayList3Element;;0.111288986;0.110737724;0.110199905;0.109666536;0.109151411;0.002137575;0.00750289;0.007816311;0.015634003;0.005466047;0.00970675;0.005927253;0.015634003;0.689185518;0.671852323;0.791849968;0.800201576;0.998995793;0.790417036
log4j2;;org.apache.logging.log4j.perf.jmh.VarargsBenchmark.baseline;;0.117730457;0.11715932;0.116668587;0.116109982;0.115592604;0.002137853;0.011263171;0.011707273;0.012357816;0.013432507;0.011239591;0.002192916;0.013432507;0.672975031;0.994056532;0.70898412;0.997314452;0.999172264;0.87450048
rxjava;;io.reactivex.BinaryFlatMapPerf.singleFlattenAsObservable;times=1;0.187453945;0.186626168;0.185770416;0.185033685;0.184334975;0.00311897;0.015470988;0.011962362;0.010188181;0.011252438;0.009102605;0.006368384;0.015470988;0.654040831;0.674246004;0.677954367;0.693195224;0.690617107;0.678010706
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithoutProperties;count=50&threadContextMapAlias=CopyOpenHash;0.141413785;0.140718913;0.140056983;0.139402718;0.13873519;0.002678595;0.008869335;0.00839302;0.010394248;0.012197928;0.010313372;0.001920352;0.012197928;0.715855037;0.995169274;0.688094528;0.990896164;0.990991374;0.876201275
log4j2;;org.apache.logging.log4j.perf.jmh.MarkerFilterBenchmark.logbackParentMarker;;0.151285732;0.150517295;0.149759899;0.149017669;0.148313242;0.00297249;0.015065647;0.010879973;0.009324471;0.01628215;0.009083914;0.007198236;0.01628215;0.695452706;0.993595089;0.710444982;0.998625062;0.689734228;0.817570413
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.get;count=5&threadContextMapAlias=CopySortedArray;0.169950408;0.16915338;0.168382461;0.16767795;0.16691481;0.003035598;0.011591406;0.009736307;0.010110752;0.011148105;0.005937432;0.005653975;0.011591406;0.992049911;0.69167448;0.700679278;0.982325403;0.992784956;0.871902806
log4j2;;org.apache.logging.log4j.perf.jmh.TimeFormatBenchmark.fixedDateFormatReuseCharArray;;0.346194574;0.346280688;0.347094339;0.34693209;0.345346348;0.001747991;0.040252568;0.028491124;0.027258145;0.029919367;0.029945769;0.010306799;0.040252568;0.692887849;0.699042455;0.995693858;0.696458498;0.693780099;0.755572552
log4j2;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.baseline;;0.11976878;0.119216729;0.118639149;0.118089533;0.117535337;0.002233443;0.009034374;0.009475231;0.010440724;0.009732589;0.010279661;0.001245286;0.010440724;0.994141195;0.737079295;0.995413676;0.697973925;0.995988077;0.884119234
