project;commit;benchmark;params;meanDefault;meanCov;meanCi;meanKld;ciPercentageDefault;ciPercentageCov;ciPercentageCi;ciPercentageKld;effectSizeCov;effectSizeCi;effectSizeKld;wilcoxonCov;wilcoxonCi;wilcoxonKld;ratioLowerCov;ratioUpperCov;ratioLowerCi;ratioUpperCi;ratioLowerKld;ratioUpperKld
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field;;1.86720188075231E-7;1.8872743646187766E-7;1.843897559023611E-7;1.8529014817781145E-7;0.06646384273344258;0.08109517628683331;0.028520476879333574;0.024686301964878726;0.0130645814459464;0.19506312929333397;0.1569378452221898;0.10967895233649572;4.3981022098063406E-126;2.897391590421046E-82;1.005805;1.023319;0.9640742;1.000427;0.9643691;1.003987
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field;;4.767840352105711E-8;4.7577446467880525E-8;4.8004803362354354E-8;4.767710939845916E-8;0.03787188788381023;0.042870519739158335;0.04594997043135213;0.027212051476840398;0.06282962535348557;0.022349885191715827;0.011703551101362838;1.4360985721824197E-14;0.00620894580912438;0.15188057813494382;0.9929478;1.00997;1.001312;1.009079;0.9968175;1.006738
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer;stringLength=100;1.6533436687337784E-7;1.6638883329998408E-7;1.6515018021626576E-7;1.6545266212970905E-7;0.020117067848916072;0.04468551200646674;0.02978626015206758;0.02065252403286857;0.00889014104601989;0.0993116324506391;0.08365205867434496;0.2763433608653423;5.165010817878379E-34;1.2798789268883383E-24;0.9996603;1.0246;0.9895182;0.9993797;0.9997821;1.000469
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=100000;1.0771404303012104E-4;1.0856851636145274E-4;1.0723589993996376E-4;1.0782265253050627E-4;0.017686957457426815;0.03781666701901675;0.022071848353067542;0.024249322031070757;0.21795055397980026;0.1047379853910545;0.05096740352773847;7.341172848209679E-157;1.215137384142095E-37;4.357683485180983E-10;1.003528;1.02464;0.9932048;0.9979584;0.9995615;1.006583
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer;stringLength=100000;1.6464150490294358E-4;1.670533800140055E-4;1.6867674524714867E-4;1.6603327583792062E-4;0.041164252265984774;0.026740101836856354;0.023669291450602217;0.07928024293416218;0.09585677384223873;0.5605744174942028;0.012627396347763636;8.228448105778134E-32;0.0;0.12208769648949336;1.003522;1.01926;1.008196;1.028212;0.9822272;1.024068
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_1_int_field;;5.4589571657325585E-8;5.483488628393951E-8;5.452576803762621E-8;5.438905562224889E-8;0.0166872537426718;0.017446947722763912;0.01207613572460672;0.01630278754622471;0.017476349579814136;0.05225320053901622;2.7083491523110446E-4;0.032443134558895345;1.5833121158244593E-10;0.9735473272036137;1.006373;1.007428;0.9974789;1.001781;0.9964679;0.9970539
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields;;1.4779347934793485E-7;1.5193639363936462E-7;1.476217486994805E-7;1.4740360180090136E-7;0.03943696268288238;0.041155956192768066;0.03723160796888726;0.043491535359346925;0.38205113640676996;0.02434758281750544;0.03695227952009808;0.0;0.0028683034017403988;6.041854719399055E-6;1.026662;1.031995;0.9974532;1.002195;0.9877345;0.9919648
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field;;5.5784927942353574E-8;5.6237171151345466E-8;5.599259110933121E-8;5.5844422211106117E-8;0.031458971931810166;0.01928110885534525;0.011963919302387452;0.02407431744552763;0.12758781597649832;0.13850436576734354;0.09162346385362417;5.191695131678343E-55;1.787488539847229E-64;3.341859936202286E-29;1.001546;1.013854;0.9924105;1.01352;0.9950853;1.003328
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer;stringLength=1;8.573842152646588E-8;8.674074074074632E-8;8.592355413248774E-8;8.594664664665457E-8;0.04874509992286712;0.057970346508949826;0.03391961919060546;0.04279649518641201;0.11500268899488665;0.006029125127372112;0.006305385109026201;5.043552571395178E-45;0.46037507590237525;0.44012720496325874;0.998534;1.031543;0.9846795;0.9988018;0.9956939;1.001584
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field;;4.422864572914909E-8;4.486740718503194E-8;4.460380190095314E-8;4.46048443599272E-8;0.03212632528271834;0.04872842401511388;0.029375683480693596;0.03376679813447122;0.11495346202233542;0.1046294601591654;0.006493621815144733;5.384093887140309E-45;1.4069110311923108E-37;0.42657608420360715;0.9994576;1.020119;1.003597;1.006723;0.997818;1.004728
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=10;9.1429628888669E-8;9.15256256256279E-8;9.191910000000176E-8;9.170599438653069E-8;0.01827826010115815;0.015782192396570676;0.016266344684747854;0.013457449278661207;0.006700098117523345;0.04280125037511253;0.08437052968336371;0.4120429553080235;1.592446196656453E-7;5.375802917012774E-25;0.9993186;1.001686;1.000728;1.003199;0.9972758;1.002417
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer;stringLength=1;8.07996398919614E-8;8.070549999999441E-8;8.096056845475827E-8;8.069827931171881E-8;0.01908542344889857;0.022311504916433543;0.02846476377148125;0.024154873147011438;0.12466040812243673;0.09667532966054748;5.261682546380561E-4;1.2845770549310893E-52;2.521561266808392E-32;0.9486284025240879;0.9987702;1.003208;0.9957543;1.007493;0.9980213;1.002978
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer;stringLength=10000;1.641063306330627E-5;1.663602040204014E-5;1.634926555933562E-5;1.6499979597959745E-5;0.01434805841447463;0.023412566871444607;0.022589006127868697;0.023405115761803555;0.02018445668949333;0.0303566878601008;0.005144558860326476;0.013439876962275804;2.0146209664417169E-4;0.5286749883654209;1.012138;1.020658;0.988808;1.001495;0.9997023;1.009107
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer;stringLength=1000;1.218323988786554E-6;1.237088105726878E-6;1.216600060066084E-6;1.2328154755938715E-6;0.014295285007786106;0.03466335694041852;0.020409554407957747;0.024174437060016332;0.026372345653390396;0.0016007796802353634;0.028430819398834378;0.0012469376745345613;0.8446594749607212;5.034496652535245E-4;1.002071;1.024092;0.9943745;0.999921;1.001435;1.010842
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field;;5.8379065345743596E-8;5.7749949989998706E-8;5.83047523761895E-8;5.817957182873301E-8;0.11811137306286562;0.10636455814813292;0.14830639938474388;0.11608573162311604;0.10427037874301569;0.01454157480020907;0.020645133866615796;2.497688860476231E-37;0.07501166668739068;0.011479818977631314;0.9525468;0.9946687;0.9966036;1.024455;0.9854824;1.000978
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline;;2.917161716171801E-8;2.935640692207846E-8;2.93650460184091E-8;2.920454090818341E-8;0.02239160607066355;0.025206317938371196;0.02386030895962477;0.020365068701746123;0.14595842899284428;0.15062124459744894;0.022267679858603985;1.881884116557222E-71;5.773886573738919E-76;0.006392273716948767;0.994126;1.006253;0.9960333;1.00593;0.99758;1.001089
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer;stringLength=1000;1.6500960288086434E-6;1.6726385277055441E-6;1.591747749549905E-6;1.6723786378637915E-6;0.05063257164468627;0.044931092958105434;0.026314563097013407;0.04160865132756136;0.036488181901659915;0.5177173376057627;0.05018867396392535;7.88801764339714E-6;0.0;7.942940622408135E-10;1.00806;1.014891;0.9560425;0.9773699;1.015488;1.026065
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer;stringLength=10;8.075887943973072E-8;7.965219131480208E-8;7.953025907773626E-8;7.976273391375275E-8;0.05334265475097504;0.010074363328739845;0.007993060031631737;0.014528834273381457;0.12706344166680097;0.1276730592964783;0.13119541858390418;1.4182821757478935E-54;4.327033377374547E-55;4.6456047267748766E-58;0.9591665;1.002985;0.9566227;1.000909;0.9627232;1.001252
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field;;5.88270308123244E-8;5.970471613096882E-8;5.921700380532735E-8;5.929037422453444E-8;0.2665350085683556;0.15218149354059446;0.2476216243786161;0.22588015745164916;0.16520433145722493;0.013925417954083296;0.020258153291334544;5.994686063218463E-91;0.08825078138674736;0.013122604110738057;0.9032766;1.050726;0.9705078;0.9995386;0.9752076;1.024577
protostuff;;io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_10_int_field;;9.9272117694159E-8;9.735490647194441E-8;9.737348674337457E-8;1.0070089062344046E-7;0.06674973040055084;0.010793759962481195;0.00903238554391076;0.06603631882947966;0.21034569978679754;0.2102125922849335;0.04932648210032051;2.88869167410746E-146;4.545816887722191E-146;1.552466312017339E-9;0.9432108;0.9973924;0.9409414;0.9970238;0.9996072;1.003809
protostuff;;io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer;stringLength=100;1.636706341268287E-7;1.658783026421173E-7;1.6488495398158707E-7;1.655640948664102E-7;0.025153917246611614;0.038174629535079496;0.030872265946598774;0.027156579428133116;0.031757252171010664;0.09501487132160326;0.053520130624743985;1.0091418969011574E-4;2.7403632392299214E-31;5.631269462530311E-11;1.012352;1.024632;1.009289;1.017725;1.012461;1.016439
