project;commit;benchmark;params;percentage;mean
;;io.reactivex.EachTypeFlatMapPerf.singleJust;times=1000;1.0068157762450676;4.813640912730241E-8
;;io.reactivex.EachTypeFlatMapPerf.singleJust;times=1000000;0.9911676713575207;4.8489797959591964E-8
;;io.reactivex.EachTypeFlatMapPerf.singleJustMapJust;times=1;1.0192041885440806;8.420066052842187E-8
;;io.reactivex.EachTypeFlatMapPerf.singleJustMapJust;times=1000;1.0090352398547529;8.448829531812904E-8
;;io.reactivex.EachTypeFlatMapPerf.singleJustMapJust;times=1000000;1.0174440210241071;8.508315821075069E-8
;;io.reactivex.FlatMapJustPerf.flowable;times=10;1.6887770319929085;2.3256519247699138E-4
;;io.reactivex.FlatMapJustPerf.flowable;times=100;1.7112298178615235;2.5764917463492684E-4
;;io.reactivex.FlatMapJustPerf.flowable;times=1000;1.9115874030194142;2.7290240064006257E-4
;;io.reactivex.FlatMapJustPerf.flowable;times=10000;1.8423386616854376;2.509100415999997E-4
;;io.reactivex.FlatMapJustPerf.flowable;times=100000;1.907019579361649;2.682138367999993E-4
;;io.reactivex.FlatMapJustPerf.flowable;times=1000000;1.8363046015619158;2.5830878720000067E-4
;;io.reactivex.FlatMapJustPerf.observable;times=10;1.5773381119523096;2.09091904780956E-4
;;io.reactivex.FlatMapJustPerf.observable;times=100;2.115069416344513;2.7990054399999964E-4
;;io.reactivex.FlatMapJustPerf.observable;times=1000;1.836194975262982;2.3954616320000103E-4
;;io.reactivex.FlatMapJustPerf.observable;times=10000;1.763192515279446;2.4036808959999973E-4
;;io.reactivex.FlatMapJustPerf.observable;times=100000;1.8044745742866466;2.4618823679999904E-4
;;io.reactivex.FlatMapJustPerf.observable;times=1000000;1.7695003764550687;2.3067398939681898E-4
;;io.reactivex.FlattenCrossMapPerf.flowable;times=1;1.012447652945279;0.009780333776998473
;;io.reactivex.FlattenCrossMapPerf.flowable;times=10;0.9976481027040148;0.014881272844998234
;;io.reactivex.FlattenCrossMapPerf.flowable;times=100;1.1374882163777444;0.014884163763000797
;;io.reactivex.FlattenCrossMapPerf.flowable;times=1000;0.9995033086276057;0.016118442985000276
;;io.reactivex.FlattenCrossMapPerf.flowable;times=10000;0.993153326476093;0.015035335230000377
;;io.reactivex.FlattenCrossMapPerf.flowable;times=100000;0.9942777547955979;0.017121086507999348
;;io.reactivex.FlattenCrossMapPerf.flowable;times=1000000;0.8735131860734167;0.028618119057000947
;;io.reactivex.FlattenCrossMapPerf.observable;times=1;0.7025164240849073;0.006871239885000131
;;io.reactivex.FlattenCrossMapPerf.observable;times=10;0.7125968076209751;0.007364562124399387
;;io.reactivex.FlattenCrossMapPerf.observable;times=100;0.8078969752417375;0.007386297140600302
;;io.reactivex.FlattenCrossMapPerf.observable;times=1000;0.8847263263869523;0.00801737277400074
;;io.reactivex.FlattenCrossMapPerf.observable;times=10000;0.9032746010548776;0.00840582512739925
;;io.reactivex.FlattenCrossMapPerf.observable;times=100000;0.8282385923658268;0.00810739630199912
;;io.reactivex.FlattenCrossMapPerf.observable;times=1000000;0.9721418497757192;0.015718050481000223
;;io.reactivex.FlattenJustPerf.flowable;times=1;0.9859007124966881;7.837115981187738E-8
;;io.reactivex.FlattenJustPerf.flowable;times=10;0.9416618919244986;3.2119603722606543E-7
;;io.reactivex.FlattenJustPerf.flowable;times=100;0.9592134317906963;2.1179635927186375E-6
;;io.reactivex.FlattenJustPerf.flowable;times=1000;0.9885892062253542;1.9717955199999922E-5
;;io.reactivex.FlattenJustPerf.flowable;times=10000;0.9859251922257547;2.1136454214214283E-4
;;io.reactivex.FlattenJustPerf.flowable;times=100000;0.9998526173602279;0.002122969702399941
;;io.reactivex.FlattenJustPerf.flowable;times=1000000;0.8895519083406436;0.021316814619
;;io.reactivex.FlattenJustPerf.observable;times=1;0.9972530477409708;5.929715943188492E-8
;;io.reactivex.FlattenJustPerf.observable;times=10;0.9573283842105041;1.5553315331532355E-7
;;io.reactivex.FlattenJustPerf.observable;times=100;0.9751851386252635;9.75254300000041E-7
;;io.reactivex.FlattenJustPerf.observable;times=1000;0.9963117200677251;9.116532800000424E-6
;;io.reactivex.FlattenJustPerf.observable;times=10000;1.0292233827397101;9.014530559999899E-5
;;io.reactivex.FlattenJustPerf.observable;times=100000;1.016295840145026;9.240721407999342E-4
;;io.reactivex.FlattenJustPerf.observable;times=1000000;0.8522322255598861;0.009083184744200567
