"project","className","benchmarkName","sameConfig","warmupIterationsPre","warmupIterationsPost","warmupTimePre","warmupTimePost","measurementIterationsPre","measurementIterationsPost","measurementTimePre","measurementTimePost","forksPre","forksPost"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImplsAsync","rangePipeline_rsc","true","5","5","","","5","5","2.0","2.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImplsAsync","rangeAsync_reactor","true","5","5","","","5","5","2.0","2.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImplsAsync","rangePipeline_reactor","true","5","5","","","5","5","2.0","2.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImplsAsync","rangeAsync_akka","true","5","5","","","5","5","2.0","2.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImplsAsync","rangePipeline_akka","true","5","5","","","5","5","2.0","2.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImplsAsync","rangeAsync_actorscheduler","true","5","5","","","5","5","2.0","2.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImplsAsync","rangePipeline_actorscheduler","true","5","5","","","5","5","2.0","2.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.AkkaStreamsFlatMapPerf","rangeFlatMapJust_akka","true","5","5","","","5","5","2.0","2.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.WindmillPerf","Flux","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.asyncenum.IAsyncEnumerablePerf","range_ax","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.asyncenum.IAsyncEnumerablePerf","rangePipeline_ax","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.asyncenum.IAsyncEnumerablePerf","rangeAsync_ax","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.asyncenum.IAsyncEnumerablePerf","range_px","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.asyncenum.IAsyncEnumerablePerf","rangePipeline_px","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.asyncenum.IAsyncEnumerablePerf","rangeAsync_px","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.asyncenum.IAsyncEnumerablePerf","rangeAsyncClassic_px","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.reactive.nio.NIONetworkNotification","send","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.reactive.nio.BufferPerf","indexLoop","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.reactive.nio.BufferPerf","consumeLoop","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.reactive.ipc.SocketNetworkNotification","send","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ZeroOnePerf","monoOne","true","5","5","","","5","5","1.0","1.0","1","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ZeroOnePerf","monoEmpty","true","5","5","","","5","5","1.0","1.0","1","1"
