"project","numberOfChanges"
"jkirsch/spex","1"
"jmiettinen/jradixheap","0"
"jon-hanson/funcj","0"
"josegom/training","0"
"jpaw/bonaparte-java","1"
"jpaw/fixedpoint","0"
"jpaw/jdp","0"
"jpaw/jpaw","0"
"jpaw/jpaw8","0"
"json-iterator/java","0"
"jsubercaze/simhashdb","0"
"jsurfer/JsonSurfer","1"
"jthelin/orbit","0"
"junkdog/artemis-odb","1"
"junkdog/entity-system-benchmarks","1"
"jvcaquino/DC-UFSCar-ES2-201601-Grupo6","0"
"jvz/nio-logger","0"
"kaazing/gateway","0"
"karlicoss/autohash","1"
"kaustubh-walokar/grpc-poll-service","0"
"kawasima/copyfile-benchmark","0"
"kevoree-modeling/benchmark","0"
"kgilmer/XMLObjectIterable","0"
"kickass-jmh/riviera","0"
"kiegroup/kie-benchmarks","0"
"kno10/reversegeocode","0"
"komiya-atsushi/fast-rng-java","1"
"Konstantin8105/Triangulation","0"
"kvnxiao/kommandant","0"
"Lawrence-zxc/springStarter","0"
"leeyikjiun/blog","0"
"lemire/microbenchmarks","0"
"lettuce-io/lettuce-core","0"
"lexas2509/perf","0"
"lhyqie/rtree","0"
"line/armeria","0"
"linkedin/parseq","0"
"LiveMyKarma/Finalizer","0"
"lmdbjava/benchmarks","0"
"loxal/template","0"
"LucasPickering/terra","0"
"m0wfo/false-sharing-demo","0"
"magneticflux-/gridsim","0"
"manhcuongkd/blynk-server","0"
"manoelcampos/cloudsim-plus","0"
"marcelmay/hadoop-hdfs-fsimage-exporter","0"
"marcelodeolive1ra/DC-UFSCar-ES2-201601-GrupoHelloWorld","0"
"MaridProject/typedmap","0"
"marklogic/marklogic-jena","1"
"marklogic/marklogic-sesame","0"
"marschall/charsequences","0"
"marschall/sets","0"
"matthew-dailey/java-playaround","0"
"maxdemarzi/ChronicleGraph","0"
"maxdemarzi/graph_processing","0"
"maxdemarzi/GuancialeDB","0"
"maxdemarzi/neo_dislikes","0"
"maximenajim/nashorn-react-jmh-microbenchmark","0"
"mbosecke/pebble-benchmark","0"
"mbosecke/template-benchmark","0"
"meghana0507/grpc-java-poll","0"
"melix/jmh-gradle-plugin","2"
"Mercateo/json-schema","0"
"Mercateo/reflection","0"
"Mercateo/rest-schemagen","0"
"MeteoGroup/jbrotli","1"
"michaelhixson/jmh-benchmark-listof","0"
"michaljonko/blog-examples","0"
"mikeb01/scratch","0"
"mikvor/hashmapTest","0"
"mini2Dx/mini2Dx","1"
"mjeffrey/log-sanitizer","0"
"mkosem/stringsplitting","0"
"mkraemerx/algorithm-art","0"
"Mojang/blixtser","0"
"MorganBauer/java-experiments","0"
"moves-rwth/attestor-examples","0"
"MovingBlocks/gestalt","0"
"mox601/mybatis-pool-jmh","0"
"mp911de/logstash-gelf","0"
"msteindorfer/criterion","2"
"msteindorfer/oopsla15-artifact","0"
"myzhan/locust4j","0"
"neo4j-contrib/neo4j-graph-algorithms","0"
"neo4j-contrib/neo4j-jdbc","0"
"neowu/core-ng-demo-project","4"
"neowu/core-ng-project","0"
"nesteant/java-tests","0"
"Netflix/Hystrix","0"
"Netflix/servo","1"
"Netflix/spectator","1"
"netty/netty","1"
"netzwerg/paleo","0"
"nextopcn/lite-pool","0"
"nickman/json-benchmark","0"
"nickman/UnsafeAdapter","0"
"nikarh/equals-builder","0"
"nithril/packedobject-test","0"
"nitram509/intellij-idea-plugin-serializer-toolbox","0"
"nitsanw/jmh-samples","1"
"nitsanw/safepoint-experiments","1"
"nobeh/jmh-forked-main-threads","0"
"nom-tam-fits/nom-tam-fits","1"
"npetzall/persistent-queue","0"
"nstdio/libpgn","1"
"numenta/htm.java","0"
"oblac/jodd","0"
"octabase/fnr-java","0"
"opendaylight/controller","1"
"opendaylight/yangtools","0"
"OpenFeign/feign","0"
"OpenHFT/Chronicle-Algorithms","0"
"OpenHFT/Chronicle-Logger","0"
"OpenHFT/Chronicle-Wire","0"
"OpenHFT/jvm-micro-benchmarks","1"
"openzipkin/zipkin","1"
"openzipkin/zipkin-reporter-java","0"
"optimatika/ojAlgo-linear-algebra-benchmark","0"
"optimizely/java-sdk","2"
"orientechnologies/orientdb","1"
"PacktPublishing/Mastering-Mesos","0"
"palantir/atlasdb","1"
"paninij/paninij","0"
"patrickfav/bytes-java","0"
"pdemanget/examples","0"
"peptos/traffic-shm","0"
"pgjdbc/pgjdbc","1"
"PhantomThief/scope","0"
"PhantomThief/simple-failover-java","0"
"pietermartin/sqlg","0"
"pinterest/jbender","0"
"Pitt112/night-hawk","0"
"planetsizebrain/stringbundler-tests","0"
"platan/idea-gradle-dependencies-formatter","0"
"pombreda/btrace-hg","0"
"prasanthj/bloomfilter","1"
"prasanthj/hasher","0"
"presidentio/test-data-generator","0"
"promeG/TinyPinyin","0"
"prometheus/client_java","0"
"protobufel/multikeymapjava","0"
"protobufel/protobuf-el","0"
"protostuff/protostuff","1"
"puniverse/quasar","1"
"Querables/querables-java","0"
"rabbitmq/rabbitmq-perf-test","0"
"rafamonteiro/SerializationProtocolsBenchMark","0"
"raphw/byte-buddy","2"
"raviprak/JAVABench","0"
"raydac/java-binary-block-parser","0"
"ReactiveX/RxJava","1"
"ReactiveX/RxJavaParallel","0"
"reactor/reactive-streams-commons","0"
"reactor/reactor-core","0"
"reaktivity/nukleus-tcp.java","1"
"reaktivity/nukleus.java","1"
"real-logic/benchmarks","0"
"real-logic/simple-binary-encoding","1"
"reific/braid","0"
"relayrides/pushy","0"
"ReneNeubert/gradle-java-template","0"
"requery/requery","0"
"resilience4j/resilience4j","0"
"restfb/restfb-benchmark","0"
"rgorodischer/microbenchmarks","1"
"RichardWarburton/java-final-benchmark","0"
"rkraneis/rtree","1"
"rmpestano/cukedoctor","0"
"rnc/jmh-benchmarks","0"
"RoaringBitmap/RoaringBitmap","2"
"robinst/microbenchmarks","0"
"RodrigoRubino/DC-UFSCar-ES2-201601-Grupo-Brainstorm","0"
"rolve/better-checks","0"
"rslemos/cobolg","0"
"rslemos/pet-grammars","0"
"rsocket/rsocket-java","0"
"RTBHOUSE/avro-fastserde","0"
"RTBHOUSE/neural-network-native-ops","0"
"ruediste/salta-benchmark","0"
"runidle/runidle-testing","0"
"rxin/jvm-unsafe-utils","0"
"rybalkinsd/atom","0"
"s4ke/moar","0"
"salyh/jsr353-benchmark","0"
"Sandyarathi/Lab2gRPC","0"
"sangupta/gather","0"
"sboesebeck/morphium","0"
"scalecube/scalecube","0"
"SeanPMiller/containers","0"
"SerCeMan/jmh-spring","0"
"sergiomt/judal","0"
"shalinmangar/solr-jmh-tests","0"
"shunfei/indexr","0"
"simonpatrick/stepbystep-java","0"
"smoketurner/graphiak","0"
"smoketurner/notification","1"
"smoketurner/uploader","1"
"snazy/ohc","0"
"SoatGroup/benchamrk-lambda","0"
"SonarSource/sonarqube","1"
"sparkoo/Java-Grande-JMH","0"
"spiffykahuna/TIJ4-code_idea","0"
"spotify/apollo","0"
"spotify/completable-futures","0"
"spotify/missinglink","0"
"spotify/netty-zmtp","0"
"spriet2000/handlers","0"
"spriet2000/vertx-http-router","0"
"spring-cloud/spring-cloud-sleuth","0"
"springside/springside4","0"
"square/okio","1"
"Squarespace/less-compiler","1"
"Squarespace/template-compiler","1"
"SquidPony/SquidLib","3"
"srvaroa/jbcnconf","0"
"ssaarela/javersion","0"
"stagemonitor/stagemonitor","2"
"stewsters/stewsters-util","1"
"structlogging/structlogger","0"
"sujanctg2005/test-project","0"
"svenruppert/rapidpm-microservice","0"
"Swrve/rate-limited-logger","1"
"taichi/jmh-gradle-ide","0"
"taichi/json-benchmarks","0"
"takari/bpm","0"
"tallerjavaunicen/TallerJava","1"
"taojiaenx/netty-source-study","0"
"tdunning/t-digest-benchmark","0"
"Techcable/Event4J","0"
"TechEmpower/misc","0"
"terma/fast-select","0"
"terma/mutable-fast-select","0"
"thaibui/algorithms-core","0"
"thejotta/CloudSimPlusModificado","0"
"ThomasKrieger/benchmarks","1"
"ThreeTen/threeten-bench","0"
"thymeleaf/thymeleaf-benchmarks","0"
"tinyj/tinyj-lazy","0"
"tkowalcz/openjdk-jmh","0"
"tkowalcz/presentations","0"
"tmontgomery/nuklei","0"
"tobijdc/PRNG-Performance","0"
"togglz/togglz","1"
"tommyettinger/sarong","1"
"tootedom/herdcache","1"
"tramchamploo/buffer-slayer","0"
"traneio/future","0"
"TridentSDK/Trident","1"
"TridentSDK/TridentSDK","0"
"TU-Berlin-SNET/tresor-pdp-caching","0"
"tudorv91/SparkJNI","0"
"tweakers-dev/objectpool-benchmarks","0"
"twineworks/collections","0"
"twitter/hpack","0"
"txazo/java","0"
"tzaeschke/distributed-phtree","1"
"uber/h3-java","0"
"uber/tchannel-java","0"
"uchuhimo/kotlin-playground","0"
"udoprog/scribe","0"
"udoprog/tiny-async-java","1"
"udoprog/tiny-serializer-java","0"
"uliashkevich/native-struct","0"
"user405/test","0"
"uujava/cqengine-query-jmh","0"
"Vanilla-Java/Microservices","0"
"Vedenin/java_in_examples","0"
"vibneiro/dispatching","1"
"victor-cr/template-text-parser","0"
"viniciusfbarbosa/DC-UFSCar-ES2-201601-Grupo-AMTV-","0"
"virsox/cepsim","0"
"VitrifiedCode/JavaUtilities","0"
"vladimir-bukhtoyarov/bucket4j","1"
"vladimir-bukhtoyarov/rolling-metrics","0"
"vladimirdolzhenko/gflogger","1"
"vladimirdolzhenko/hashCodeLegend","0"
"vlsi/compactmap","0"
"volodarsky/zephyr-benchmark","0"
"volodin-aa/openjdk-benchmark","0"
"vongosling/jvm-serializer","0"
"vsch/flexmark-java","0"
"vsonnier/hppcrt","2"
"waffle/waffle","0"
"wenerme/seq","0"
"wesamhaboush/furmat","0"
"wesleyegberto/courses-projects","0"
"willhaben/blog","0"
"witi83/jmh-primitive-data-types","0"
"witi83/jmh-streams","0"
"wondee/faststring","0"
"Workiva/frugal","0"
"wotifgroup/wotif-logutils","0"
"x-stream/xstream","0"
"xiajunsongfan/scud","0"
"xzy256/grpc-java-mips64","0"
"yandex/yoctodb","1"
"yshahun/probabilistic-util","0"
"yulang/Modified-Parquet","0"
"Zappos/zappos-json","0"
