"project","numberOfBenchmarks","avgNumberOfBenchmarksPerClass","avgNumberOfBenchmarksPerFile","parameterizationUsedPercentage","groupsUsedPercentage","blackholeUsedPercentage","controlUsedPercentage","hasStateObjectsWithJmhParamsPercentage","hasStateObjectsWithoutJmhParamsPercentage","returnTypeUsedPercentage","returnTypeOrBlackholeUsedPercentage","nothingSetPercentage","benchmarkIsInnerClassPercentage","stars","forks","watchers","numberOfCommits","numberOfContributors"
"debmalya/vigilant-tribble","8","4.0","4.0","0.25","0.0","0.0","0.0","0.0","0.25","0.25","0.25","1.0","0.0","1","0","1","32","1"
"debop/debop4k","5","2.5","2.5","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","19","2","4","362","1"
"deephacks/lmdbjni","5","5.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","192","23","12","414","7"
"demoth/finistika","3","3.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","0","2","13","2"
"Devexperts/dlcheck","7","3.5","3.5","1.0","0.0","0.0","0.0","0.8571428571428571","0.0","0.14285714285714285","0.14285714285714285","0.0","0.0","53","1","11","12","2"
"dimagi/commcare-core","1","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","10","11","20","9744","24"
"dimitrovchi/enum-like","27","6.75","6.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","1","71","1"
"dmart28/reveno","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","252","60","43","421","2"
"dmitryleskov/algs4bench","23","3.8333333333333335","3.8333333333333335","0.9565217391304348","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","0","1","19","1"
"dmnlukasik/java-8-concurrency-updates","6","3.0","3.0","0.3333333333333333","0.6666666666666666","0.0","0.0","0.0","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.0","0.0","0","0","1","2","1"
"Domo42/saga-lib","10","10.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","27","10","12","201","4"
"drankye/bufferalloc","12","3.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","1","5","1"
"dropbox/dropbox-sdk-java","3","3.0","3.0","0.0","0.0","1.0","0.0","0.0","0.3333333333333333","0.3333333333333333","1.0","1.0","1.0","366","336","51","408","27"
"dropwizard/dropwizard","8","1.3333333333333333","1.3333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.75","0.0","0.0","7317","3057","447","5034","342"
"dropwizard/metrics","11","2.75","2.75","0.0","0.36363636363636365","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","6655","1642","422","2519","177"
"dryuf/dryuf-concurrent","50","3.8461538461538463","3.8461538461538463","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","1","1","36","1"
"easymock/objenesis","13","6.5","6.5","0.0","0.0","0.0","0.0","0.0","0.38461538461538464","1.0","1.0","0.0","0.0","367","67","37","626","12"
"ecki/jmhbench-cryptospeed","13","6.5","6.5","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1","1","1","10","1"
"eclipse/eclipse-collections","515","8.728813559322035","8.728813559322035","0.19029126213592232","0.0","0.005825242718446602","0.0","0.0","0.0","0.5398058252427185","0.545631067961165","0.0","0.0","1138","262","80","1037","50"
"eclipse/vert.x","33","4.125","4.125","0.0","0.0","0.0","0.0","0.0","0.12121212121212122","0.3939393939393939","0.3939393939393939","0.9696969696969697","0.0","10054","1561","602","4047","147"
"elastic/elasticsearch","14","2.8","2.8","0.6428571428571429","0.0","0.0","0.0","0.0","0.0","0.9285714285714286","0.9285714285714286","0.0","0.0","43481","14615","2779","47659","360"
"elbek/ir","6","1.5","1.5","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","1","7","1"
"elliottneilclark/time-test","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0","0","1","2","1"
"enisher/polymorphic-calls-benchmark","5","5.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","0","1","2","1"
"ennerf/flatbuffers-java-benchmark","13","13.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","2","3","2","8","1"
"epickrram/benchmark","9","1.8","1.8","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0","0","1","2","1"
"epickrram/jvm-warmup-talk","4","4.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","2","2","24","1"
"epickrram/lock-benchmark","4","4.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0","1","1","2","1"
"epickrram/lock-contention","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0","0","1","23","1"
"eranharel/memcached-java-clients-benchmark","12","12.0","12.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","4","3","2","15","1"
"ericmm/Woobaben","56","18.666666666666668","18.666666666666668","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1","0","1","158","1"
"ericmoshare/uid-generator","2","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","4","1"
"ESAPI/esapi-java-legacy","2","2.0","2.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","333","215","60","1663","17"
"escalate42/Javaz-Benchmarks","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1","0","2","7","1"
"eseifert/gral","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","139","33","14","1135","2"
"eternita/frontcache","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","7","3","4","566","2"
"evanj/expire-threadlocal","6","6.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3","0","0","1","1"
"eventsourcing/es4j","4","1.3333333333333333","1.3333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.0","400","25","23","653","7"
"fabienrenaud/java-json-benchmark","58","14.5","14.5","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","437","57","30","104","6"
"fabri1983/menuapp","2","2.0","2.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0","0","1","82","1"
"fakemongo/fongo","6","6.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","448","158","32","1351","55"
"fbaro/jpack","3","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","1","28","1"
"federicotg/hashing","98","49.0","49.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","1","1","41","1"
"fenderstr/my-bench","18","2.0","2.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0","0","1","2","1"
"fenderstr/super-bench","18","2.0","2.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0","0","1","1","1"
"finn-no/serdes-shootout","11","1.8333333333333333","1.8333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.0","0","2","33","22","3"
"FIXTradingCommunity/silverflash","6","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.6666666666666666","0.0","0.0","1.0","0.0","15","4","13","60","1"
"foursquare/fsqio","4","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","194","43","128","1092","23"
"fpavageau/bench-filters","9","9.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1","0","1","3","1"
"fpavageau/bench-simple-name","3","3.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","0","1","1","1"
"frankboller/watcher","16","3.2","3.2","0.625","0.0","0.0","0.0","0.0","0.0","0.9375","0.9375","0.0625","0.0","0","0","1","108","1"
"gameduell/eclipselink.runtime","52","4.0","4.0","0.0","0.0","0.9038461538461539","0.0","0.0","0.0","0.0","0.9038461538461539","1.0","0.0","0","0","7","9693","21"
"gdrouet/scanner-benchmark","3","3.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","1","10","1"
"gensym/hikesaber","6","6.0","6.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","0","0","1","63","0"
"gensym/jmh-lein-example","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0","0","1","1","0"
"ghxandsky/benchmarx","5","5.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","2","0","1","5","1"
"Gilandel/utils-assertor","10","1.6666666666666667","1.6666666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1","0","1","120","1"
"Gilandel/utils-commons","7","2.3333333333333335","2.3333333333333335","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","1","165","1"
"glowroot/glowroot","5","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","652","152","56","4033","15"
"Gohla/persistent-graph","16","8.0","8.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1","0","0","11","1"
"golo-lang/golo-jmh-benchmarks","94","11.75","11.75","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","5","0","15","67","2"
"google/conscrypt","7","1.1666666666666667","1.1666666666666667","0.7142857142857143","0.0","0.14285714285714285","0.0","0.0","0.2857142857142857","0.0","0.14285714285714285","0.0","0.0","617","109","38","3855","58"
"gorkem/js-parser-benchmarks","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","3","0","2","1"
"gpanther/benchmark-arraycopy","14","2.8","2.8","0.21428571428571427","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5714285714285714","0.0","2","2","1","19","1"
"gpanther/lychrel-numbers","5","5.0","5.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0","0","1","4","0"
"gpanther/regex-libraries-benchmarks","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","3","4","1","3","0"
"graalvm/mx","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","79","56","39","3989","62"
"graphql-java/graphql-java","3","1.5","1.5","0.0","0.0","0.0","0.0","0.0","0.0","0.3333333333333333","0.3333333333333333","0.0","0.0","3591","633","210","2050","133"
"Graylog2/graylog-plugin-pipeline-processor","10","3.3333333333333335","3.3333333333333335","0.0","0.0","0.8","0.0","0.2","0.8","0.2","1.0","1.0","0.0","17","15","18","534","10"
"grpc/grpc-java","42","2.0","2.0","0.47619047619047616","0.0","0.16666666666666666","0.0","0.023809523809523808","0.14285714285714285","0.5476190476190477","0.6904761904761905","0.0","0.0","6517","2081","540","3665","172"
"GumTreeDiff/gumtree","1","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","295","91","22","636","15"
"guyko/weighted-lottery","10","5.0","5.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","0.0","2","3","2","163","3"
"gvsmirnov/java-perv","37","5.285714285714286","5.285714285714286","0.0","0.21621621621621623","0.05405405405405406","0.0","0.0","0.21621621621621623","0.6756756756756757","0.7297297297297297","1.0","0.0","80","27","15","92","1"
"gvsmirnov/jmh-gradle-sample","8","4.0","4.0","0.0","0.0","0.125","0.0","0.375","0.625","0.625","0.75","1.0","0.0","11","1","2","23","1"
"h2oai/h2o-3","36","2.25","2.25","0.9444444444444444","0.0","0.0","0.0","0.0","0.0","0.6111111111111112","0.6111111111111112","0.0","0.0","4251","1559","393","25224","127"
"Hanmourang/Pinot","2","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.5","0.0","0.0","11","7","3","1691","17"
"HansBrende/f8","2","2.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","1","0","1","26","1"
"haozhun/regexp-bench","5","5.0","5.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","0","0","1","4","1"
"hawkular/hawkular-metrics","1","1.0","1.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","1.0","0.0","0.0","219","76","39","3237","31"
"hazelcast/hazelcast","66","9.428571428571429","9.428571428571429","0.0","0.0","0.0","0.0","0.0","0.2878787878787879","0.7575757575757576","0.7575757575757576","0.0","0.0","3269","1182","311","28970","166"
"HBTGmbH/java-propertyname","3","3.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","3","0","2","35","1"
"hhu-stups/bmoth","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","6","1","8","1428","11"
"hibernate/hibernate-ogm","27","3.0","3.0","0.0","0.0","0.48148148148148145","0.0","0.0","1.0","0.0","0.48148148148148145","1.0","0.0","280","200","37","3605","45"
"hibernate/hibernate-validator","9","1.125","1.125","0.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","660","399","49","4001","62"
"hmarchadour/EasyCDO","6","3.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","1","2","1"
"hrldcpr/pcollections","14","14.0","14.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","582","54","35","133","13"
"hsqlu/coding-lab","16","4.0","4.0","0.0","0.0","0.0","0.0","0.0","0.125","0.0","0.0","0.25","0.0","0","0","1","630","1"
"HubSpot/jinjava","4","2.0","2.0","0.0","0.0","0.5","0.0","0.0","0.0","0.5","1.0","1.0","0.0","341","78","77","1276","38"
"huxi/sulky","6","6.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","51","7","4","979","2"
"iamdarksorcerer/java-jmh-benchmarks","16","5.333333333333333","5.333333333333333","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","0.0","0","0","0","14","1"
"ibodrov/bpm","3","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","6","1","5","146","1"
"identifiers/identifiers-java","4","4.0","4.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0","0","1","65","1"
"igorgallon/DC-UFSCar-ES2-201601--GrupoAbeliano","4","4.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0","0","5","30","3"
"iksmada/DC-UFSCar-ES2-201601-GrupoDilema","4","4.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0","1","5","44","5"
"iloveyou416068/CookNIOServer","32","5.333333333333333","5.333333333333333","0.25","0.0","0.0","0.0","0.0","0.0","0.0625","0.0625","0.1875","0.0","0","0","1","72","0"
"imglib/imglib2","19","3.1666666666666665","3.1666666666666665","0.0","0.0","0.0","0.0","0.0","0.0","0.21052631578947367","0.21052631578947367","0.5263157894736842","0.0","191","80","45","5104","30"
"immutables/samples","8","8.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","6","2","7","24","1"
"iNikem/clean","3","3.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","3","0","1","9","1"
"insano10/puzzlers","4","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","1","135","1"
"inspectIT/inspectIT","30","3.0","3.0","0.5","0.0","0.1","0.0","0.0","0.0","0.36666666666666664","0.4666666666666667","0.0","0.0","489","126","52","323","13"
"intropro/prairie","23","1.15","1.15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2","4","3","100","1"
"InvisibleTech/state","3","3.0","3.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","0","0","1","15","1"
"iok1979/test","5","5.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","1","7","1"
"ipogudin/examples","3","3.0","3.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0","0","1","5","1"
"irobertson/invokedynamic-talk-code","7","7.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","4","1","1","5","1"
"irobertson/StringBuilderInvokeDynamicBenchmark","1","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","0","1","4","1"
"IRus/Instanceof-vs-Try-Catch","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","0","1","5","1"
"isalnikov/ACMP","3","1.5","1.5","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1","0","1","280","1"
"ivgiuliani/cuckoohash","4","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","0","1","65","1"
"ivgiuliani/jelf","4","2.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","0.5","0.5","0.0","0.0","0","0","1","73","1"
"j-easy/easy-batch","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","383","125","45","1719","17"
"j-musca/kata08-conflicting-objectives","3","3.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","1","2","10","1"
"JabRef/jabref","9","9.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","1379","961","102","12915","221"
"jad7/AtomicIncrementBenchmark","7","7.0","7.0","1.0","0.0","0.0","0.0","0.0","0.5714285714285714","0.8571428571428571","0.8571428571428571","0.0","0.0","0","0","1","4","1"
"jajir/jblinktree","9","1.5","1.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2","0","1","265","1"
"jasobrown/barker","94","3.2413793103448274","3.2413793103448274","0.22340425531914893","0.0","0.06382978723404255","0.0","0.0","0.0","0.9148936170212766","0.9787234042553191","0.0","0.0","0","0","1","26","1"
"Java-Courses/collections-m0e4","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","4","3","3","15","2"
"java8/Java8InAction","5","5.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","2236","1564","267","61","7"
"Javalbert/faster-than-reflection","8","8.0","8.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","9","1","1","66","1"
"Javalbert/sql-builder-orm","7","7.0","7.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","1","0","1","170","1"
"jayjaykim/jmh-sample","4","2.0","2.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0","1","1","7","1"
"jayjaylab-benchmark/retrofitvsokhttp","2","2.0","2.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0","0","1","22","1"
"jayware/entity-essentials","4","1.3333333333333333","1.3333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3","1","2","289","2"
"jchambers/java-otp","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","135","52","11","54","1"
"jchambers/jeospatial","3","1.5","1.5","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","31","9","3","129","2"
"jchambers/jvptree","8","2.6666666666666665","2.6666666666666665","0.25","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","24","5","3","82","1"
"JCTools/JCTools","92","4.0","4.0","0.8152173913043478","0.6956521739130435","0.010869565217391304","0.2717391304347826","0.0","0.6413043478260869","0.6195652173913043","0.6304347826086957","0.0","0.0","2012","296","188","829","29"
"jenetics/jenetics","53","6.625","6.625","0.0","0.0","0.0","0.0","0.09433962264150944","0.0","1.0","1.0","0.0","0.07547169811320754","477","95","40","9495","10"
"jenetics/prngine","10","10.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","10","1","1","215","1"
"jerrinot/FieldMagic","3","3.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","16","2","5","37","1"
"JervenBolleman/java-benchmarks","17","2.4285714285714284","2.4285714285714284","0.0","0.0","0.0","0.0","0.0","0.0","0.8823529411764706","0.8823529411764706","0.8823529411764706","0.0","2","0","1","19","1"
"JetBrains/xodus","70","3.0434782608695654","3.0434782608695654","0.0","0.0","0.17142857142857143","0.0","0.0","0.0","0.6571428571428571","0.8285714285714286","0.0","0.0","633","67","78","2238","21"
"JetBrains-Research/viktor","27","3.0","3.0","1.0","0.0","0.6296296296296297","0.0","0.0","0.0","0.37037037037037035","1.0","0.0","0.0","14","2","7","222","5"
"jfaleiro/keyvalue","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","1","5","1"
"jgrapht/jgrapht","27","2.25","2.7","0.0","0.0","0.0","0.0","0.5925925925925926","0.0","0.5925925925925926","0.5925925925925926","0.4074074074074074","0.4074074074074074","1490","581","133","2950","70"
"jharting/weld-collections-benchmark","4","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.25","1.0","1.0","0.0","0.0","0","1","1","5","2"
"jhawo82882/MDP3Sample","8","2.0","2.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","0.0","0","0","1","939","16"
"Jiri-Kremser/inventory-benchmark","13","3.25","3.25","0.0","0.0","0.0","0.0","0.0","0.0","0.46153846153846156","0.46153846153846156","0.0","0.0","0","1","0","32","1"
"jjenkov/iap-tools-java-benchmarks","372","18.6","18.6","0.0","0.0","1.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","5","3","3","5","1"
"jkirsch/spex","8","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","1","2","163","1"
"jmiettinen/jradixheap","6","3.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0","0","1","5","1"
"jmnarloch/trie","6","6.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1","1","1","33","1"
"jnordwick/zerog-grisu","9","3.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","3","0","2","19","2"
"johnlcox/motif","4","2.0","2.0","0.5","0.0","0.0","0.0","0.0","0.0","0.5","0.5","0.0","0.0","139","5","13","69","1"
"jon-hanson/funcj","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","28","3","3","674","1"
"josegom/training","3","1.5","1.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","1","4","1"
"joyent/java-http-signature","9","3.0","3.0","0.6666666666666666","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.3333333333333333","0.0","13","10","44","217","5"
"joyent/java-manta","2","2.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","15","22","54","1021","16"
"jpaw/bonaparte-java","70","4.117647058823529","4.117647058823529","0.0","0.0","0.7714285714285715","0.0","0.0","0.0","0.11428571428571428","0.8857142857142857","0.5714285714285714","0.0","3","2","2","963","3"
"jpaw/fixedpoint","8","8.0","8.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0","1","1","72","1"
"jpaw/jdp","15","7.5","7.5","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","2","0","1","135","2"
"jpaw/jpaw","40","4.444444444444445","4.444444444444445","0.0","0.0","0.6","0.0","0.0","0.0","0.4","1.0","0.0","0.0","0","0","2","248","2"
"jpaw/jpaw8","39","5.571428571428571","5.571428571428571","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.20512820512820512","0.0","0","0","1","80","1"
"json-iterator/java","2","2.0","2.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1138","367","112","460","13"
"jsubercaze/simhashdb","2","2.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17","5","3","15","0"
"jsurfer/JsonSurfer","23","4.6","4.6","0.17391304347826086","0.0","0.08695652173913043","0.0","0.0","0.0","0.9130434782608695","1.0","0.0","0.0","146","30","12","252","6"
"jthelin/orbit","5","2.5","2.5","0.0","0.0","0.0","0.0","0.0","0.4","0.0","0.0","0.4","0.0","1","0","0","1580","24"
"junkdog/artemis-odb","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","542","90","37","1731","24"
"junkdog/entity-system-benchmarks","32","1.7777777777777777","1.7777777777777777","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","23","7","4","137","3"
"jvcaquino/DC-UFSCar-ES2-201601-Grupo6","4","4.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0","0","4","20","4"
"jvz/nio-logger","15","1.6666666666666667","1.6666666666666667","0.0","0.0","0.0","0.0","0.0","0.2","0.4","0.4","1.0","0.0","0","0","1","45","1"
"kaazing/gateway","6","3.0","3.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","121","82","58","5732","35"
"karlicoss/autohash","5","5.0","5.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","5","0","1","26","1"
"kaustubh-walokar/grpc-poll-service","36","5.142857142857143","5.142857142857143","0.2222222222222222","0.0","0.0","0.0","0.0","0.0","0.05555555555555555","0.05555555555555555","0.16666666666666666","0.0","0","0","1","5","1"
"kawasima/copyfile-benchmark","3","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1","0","1","2","1"
"kennyledet/Algorithm-Implementations","2","2.0","2.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","2061","496","164","1639","97"
"kevoree-modeling/benchmark","18","1.0","1.0","0.0","0.0","0.0","0.0","0.7777777777777778","0.16666666666666666","1.0","1.0","0.0","0.0","0","0","6","102","3"
"kgilmer/XMLObjectIterable","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","1","47","1"
"kickass-jmh/riviera","11","2.75","2.75","0.0","0.0","0.18181818181818182","0.0","0.0","0.18181818181818182","0.7272727272727273","0.9090909090909091","0.0","0.0","1","0","2","13","3"
"kiegroup/kie-benchmarks","150","1.0204081632653061","1.0204081632653061","0.42","0.0","0.18666666666666668","0.0","0.0","0.02666666666666667","0.8466666666666667","0.98","0.6","0.0","1","16","8","231","8"
"kno10/reversegeocode","4","4.0","4.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","33","3","4","31","1"
