"project","numberOfBenchmarks","avgNumberOfBenchmarksPerClass","avgNumberOfBenchmarksPerFile","parameterizationUsedPercentage","groupsUsedPercentage","blackholeUsedPercentage","controlUsedPercentage","hasStateObjectsWithJmhParamsPercentage","hasStateObjectsWithoutJmhParamsPercentage","returnTypeUsedPercentage","returnTypeOrBlackholeUsedPercentage","nothingSetPercentage","benchmarkIsInnerClassPercentage","stars","forks","watchers","numberOfCommits","numberOfContributors"
"ceki/logback-perf","7","3.5","3.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2","0","2","24","1"
"census-instrumentation/opencensus-java","81","5.0625","5.0625","0.0","0.0","0.07407407407407407","0.0","0.8148148148148148","0.1111111111111111","0.9259259259259259","1.0","0.0","0.0","574","150","75","2243","40"
"centic9/poi-benchmark","10","3.3333333333333335","3.3333333333333335","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","1","1","1263","3"
"cglib/cglib","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","2996","674","233","860","20"
"chrisvest/object-pool-benchmarks","24","4.0","4.0","0.0","0.0","0.2916666666666667","0.0","0.0","0.20833333333333334","0.4583333333333333","0.75","0.5833333333333334","0.0","11","3","2","30","2"
"cindywang/CaOntheGo","28","14.0","14.0","0.0","0.0","0.0","0.0","0.0","0.07142857142857142","0.0","0.0","0.0","0.0","0","0","1","1","1"
"cinnober/msgcodec","35","5.0","5.0","0.8857142857142857","0.0","0.11428571428571428","0.0","0.0","0.0","0.8857142857142857","1.0","0.0","0.0","5","3","17","403","10"
"cinquin/mutinack","27","5.4","5.4","0.0","0.0","0.0","0.0","0.3333333333333333","0.0","1.0","1.0","0.0","0.0","1","0","1","937","1"
"classgraph/classgraph","4","4.0","4.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1370","168","76","3797","30"
"coconut2015/cookjson","12","3.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3","0","3","116","2"
"codahale/aes-gcm-siv","4","4.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","18","2","2","141","1"
"codahale/gimli","6","6.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","2","1","1","71","1"
"codahale/longmapper","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","3","0","1","39","1"
"codahale/passpol","4","4.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","17","2","4","166","1"
"codahale/shamir","2","2.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","116","35","10","232","3"
"codahale/usl4j","1","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","185","3","9","162","1"
"codahale/xsalsa20poly1305","6","3.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","24","1","5","147","1"
"Codearte/duramen","1","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","40","4","6","107","3"
"coder-press/crazy-soap","2","1.0","1.0","0.5","0.0","0.5","0.0","0.0","0.0","0.5","1.0","0.0","0.0","0","1","3","22","1"
"codesorcery/juan","9","9.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","1","1","76","1"
"comodal/hash-overlay","50","4.166666666666667","4.166666666666667","0.02","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","2","0","1","62","1"
"ConSol/parallel-streams-example","8","8.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","4","4","6","9","1"
"conversant/disruptor_benchmark","16","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4","1","8","28","1"
"cpoepke/demos","24","24.0","24.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","4","1","0","18","1"
"crate/crate","38","2.533333333333333","2.533333333333333","0.0","0.0","0.5526315789473685","0.0","0.0","0.0","0.4473684210526316","1.0","0.02631578947368421","0.0","2531","338","172","9953","56"
"CrispOSS/prime-sieves","2","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","1","5","23","2"
