"project","className","benchmarkName","warmupIterations","warmupIterationsDefault","warmupTime","warmupTimeDefault","measurementIterations","measurementIterationsDefault","measurementTime","measurementTimeDefault","forks","forksDefault","warmupForks","warmupForksDefault","modeIsThroughput","modeIsAverageTime","modeIsSampleTime","modeIsSingleShotTime","modeDefault","stars","projectForks","watchers","numberOfCommits","numberOfContributors","numberOfBenchmarks","nothingSet","parameterizationCombinations"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkPsuedoAscendingString","timsortPsuedoAscendingString","32","0","64000000","0","10","0","5000000000","0","1","0","","1","1","0","0","0","0","0","0","10","5","1","22","0","1"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkDescendingInt","timsortDescendingInt","32","0","64000000","0","10","0","5000000000","0","1","0","","1","1","0","0","0","0","0","0","10","5","1","22","0","1"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.StijnSortBenchmarkDescendingInt","timsortDescendingInt","32","0","64000000","0","10","0","5000000000","0","1","0","","1","1","0","0","0","0","0","0","10","5","1","22","0","1"
"abstools/timsort-benchmark","nl.cwi.timsort.benchmark.TimSortBenchmarkAscending3RndExchInt","timsortAscending3RndExchInt","32","0","64000000","0","10","0","5000000000","0","1","0","","1","1","0","0","0","0","0","0","10","5","1","22","0","1"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathAtan2Benchmark","baselineAtan2","","1","","1","","1","","1","","1","","1","0","1","0","0","0","1","0","1","9","1","9","0","7"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathAtan2Benchmark","narjillosFastMathAtan2","","1","","1","","1","","1","","1","","1","0","1","0","0","0","1","0","1","9","1","9","0","7"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathAtan2Benchmark","commonsFastMathAtan2","","1","","1","","1","","1","","1","","1","0","1","0","0","0","1","0","1","9","1","9","0","7"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathSinCosBenchmark","baselineSin","","1","","1","","1","","1","","1","","1","0","1","0","0","0","1","0","1","9","1","9","0","7"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathSinCosBenchmark","narjillosFastMathSin","","1","","1","","1","","1","","1","","1","0","1","0","0","0","1","0","1","9","1","9","0","7"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathSinCosBenchmark","commonsFastMathSin","","1","","1","","1","","1","","1","","1","0","1","0","0","0","1","0","1","9","1","9","0","7"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathSinCosBenchmark","baselineCos","","1","","1","","1","","1","","1","","1","0","1","0","0","0","1","0","1","9","1","9","0","7"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathSinCosBenchmark","narjillosFastMathCos","","1","","1","","1","","1","","1","","1","0","1","0","0","0","1","0","1","9","1","9","0","7"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathSinCosBenchmark","commonsFastMathCos","","1","","1","","1","","1","","1","","1","0","1","0","0","0","1","0","1","9","1","9","0","7"
"addthis/basis","com.addthis.basis.chars.CharSeqOnlyIter$AbstractCharSeqBench","iterateString","2","0","1000000000","0","3","0","1000000000","0","1","0","","1","1","0","0","0","0","8","5","25","210","12","9","0","1"
"addthis/basis","com.addthis.basis.chars.CharSeqIterAndEncode$AbstractCharSeqBench","iterateString","2","0","1000000000","0","3","0","1000000000","0","1","0","","1","1","0","0","0","0","8","5","25","210","12","9","0","1"
"addthis/basis","com.addthis.basis.util.BitReversals","reverseJdk","2","0","1000000000","0","3","0","1000000000","0","1","0","","1","1","0","0","0","0","8","5","25","210","12","9","0","1"
"addthis/basis","com.addthis.basis.util.BitReversals","reverseBasis","2","0","1000000000","0","3","0","1000000000","0","1","0","","1","1","0","0","0","0","8","5","25","210","12","9","0","1"
"addthis/basis","com.addthis.basis.util.BitReversals","stackReverse","2","0","1000000000","0","3","0","1000000000","0","1","0","","1","1","0","0","0","0","8","5","25","210","12","9","0","1"
"addthis/basis","com.addthis.basis.util.BitReversals","stanfordParallelReverse","2","0","1000000000","0","3","0","1000000000","0","1","0","","1","1","0","0","0","0","8","5","25","210","12","9","0","1"
"addthis/basis","com.addthis.basis.util.BitReversals","stanfordSevenOpReverse","2","0","1000000000","0","3","0","1000000000","0","1","0","","1","1","0","0","0","0","8","5","25","210","12","9","0","1"
"addthis/basis","com.addthis.basis.util.BitReversals","stanfordMultiplyReverse","2","0","1000000000","0","3","0","1000000000","0","1","0","","1","1","0","0","0","0","8","5","25","210","12","9","0","1"
"addthis/basis","com.addthis.basis.util.BitReversals","loopReverse","2","0","1000000000","0","3","0","1000000000","0","1","0","","1","1","0","0","0","0","8","5","25","210","12","9","0","1"
"addthis/codec","com.addthis.basis.chars.CharSeqAbstractExample$AbstractCharSeqBench","iterateString","2","0","1000000000","0","3","0","1000000000","0","1","0","","1","1","0","0","0","0","2","3","25","277","9","10","0","1"
"addthis/codec","com.addthis.basis.util.BitReversalExample","reverseJdk","2","0","1000000000","0","3","0","1000000000","0","1","0","","1","1","0","0","0","0","2","3","25","277","9","10","0","1"
"addthis/codec","com.addthis.basis.util.BitReversalExample","reverseBasis","2","0","1000000000","0","3","0","1000000000","0","1","0","","1","1","0","0","0","0","2","3","25","277","9","10","0","1"
"addthis/codec","com.addthis.basis.util.BitReversalExample","stackReverse","2","0","1000000000","0","3","0","1000000000","0","1","0","","1","1","0","0","0","0","2","3","25","277","9","10","0","1"
"addthis/codec","com.addthis.basis.util.BitReversalExample","stanfordParallelReverse","2","0","1000000000","0","3","0","1000000000","0","1","0","","1","1","0","0","0","0","2","3","25","277","9","10","0","1"
"addthis/codec","com.addthis.basis.util.BitReversalExample","stanfordSevenOpReverse","2","0","1000000000","0","3","0","1000000000","0","1","0","","1","1","0","0","0","0","2","3","25","277","9","10","0","1"
"addthis/codec","com.addthis.basis.util.BitReversalExample","stanfordMultiplyReverse","2","0","1000000000","0","3","0","1000000000","0","1","0","","1","1","0","0","0","0","2","3","25","277","9","10","0","1"
"addthis/codec","com.addthis.basis.util.BitReversalExample","loopReverse","2","0","1000000000","0","3","0","1000000000","0","1","0","","1","1","0","0","0","0","2","3","25","277","9","10","0","1"
"addthis/codec","com.addthis.codec.reflection.ReflectOps","reflectCheckArray","2","0","1000000000","0","3","0","1000000000","0","1","0","","1","1","0","0","0","0","2","3","25","277","9","10","0","1"
"addthis/codec","com.addthis.codec.reflection.ReflectOps","infoCheckArray","2","0","1000000000","0","3","0","1000000000","0","1","0","","1","1","0","0","0","0","2","3","25","277","9","10","0","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.Jackson","jsonUnmashal","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.Jackson","jsonMashal","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.Jackson","xmlMashalJackson","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.Jackson","xmlUnmashalJackson","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.Jackson","xmlMashalJacksonStatic","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.Jackson","xmlUnmashalJacksonStatic","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.JaxbMashalUnMashal","mashal","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.JaxbMashalUnMashal","mashalStatic","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.JaxbMashalUnMashal","unmashal","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.JaxbMashalUnMashal","unmashalStatic","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.ExceptionsBenchMark","throwRuntimeException","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.DynamicLanguages","groovy","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.RegularExpressions","validateEmail","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.GeneratePrimeNumbersWithForLoop","generatePrime","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.MicroBenchMarks","deadCodeElimination","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.MicroBenchMarks","noDeadCodeElimination","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.MicroBenchMarks","calculateLogPiCodeElimination","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.MicroBenchMarks","calculateLogPi","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.MicroBenchMarks","loopThatCanBeUnrolled","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.MicroBenchMarks","manualUnrollOfLoop","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.MicroBenchMarks","arrayListForeach","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.MicroBenchMarks","arrayListIterator","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.GeneratePoiWorkBook","generatePoiXLSWorkBook","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.GeneratePoiWorkBook","generatePoiXLSXWorkBook","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.Reflection","withoutReflection","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.Reflection","doReflection","","1","","1","","1","","1","","1","","1","","","","","1","7","3","17","16","2","26","1","1"
"afdw/fastcloud","com.anton.fastcloud.perf.PerfContinuousBuffer","test","","1","","1","","1","","1","","1","","1","1","0","0","0","0","0","0","1","29","1","2","0","1"
"afdw/fastcloud","com.anton.fastcloud.perf.PerfSerialization","serialize","","1","","1","","1","","1","","1","","1","1","0","0","0","0","0","0","1","29","1","2","0","1"
"afredlyj/learn-netty","io.netty.microbench.buffer.ByteBufAllocatorBenchmark","unpooledHeapAllocAndFree","","1","","1","","1","","1","","1","","1","","","","","1","0","1","1","6044","111","15","1","6"
"afredlyj/learn-netty","io.netty.microbench.buffer.ByteBufAllocatorBenchmark","unpooledDirectAllocAndFree","","1","","1","","1","","1","","1","","1","","","","","1","0","1","1","6044","111","15","1","6"
