project,computationFailed,aheadBy,behindBy,nothingChanged
newkek/incubator-tinkerpop,false,0,5557,true
java02014/RxJava,false,0,662,true
tellproject/presto,false,24,9501,false
jblievremont/sonarqube,false,0,13015,true
abbeyj/sonarqube,false,0,11531,true
ellisonanne/incubator-pirk,false,21,9,false
lotusws/btrace,false,0,540,true
jjYBdx4IL/fannj,false,21,2,false
ThaBalla1148/artemis-odb-contrib,false,0,69,true
goldobin/resilience4j,false,0,438,true
mehtabsinghmann/resilience4j,false,0,335,true
elevennl/stagemonitor,false,21,755,false
fabito/togglz,false,20,100,false
dyu/protostuff,false,0,56,true
bdobyns/OpenRQ,false,0,4,true
pstout/spectator,false,0,377,true
hexmind/togglz,false,20,100,false
myxyz/protostuff,false,0,153,true
Zutai/presto,false,18,11181,false
gorcz/Hystrix,false,0,978,true
louiscryan/grpc-java,false,0,2240,true
eduardotrandafilov/RxJava,false,0,662,true
KevinTCoughlin/RxJava,false,0,664,true
nguyenhongson03/caffeine,false,18,473,false
drmaas/resilience4j,false,0,67,true
ceckhardt/orbit,true,,,
paychex/togglz,false,0,100,true
kexianda/commons-crypto,false,0,46,true
cchang738/parquet-mr,false,0,311,true
saucam/incubator-parquet-mr,false,0,302,true
ilya-g/pcollections,false,0,71,true
juszczakn/pcollections,false,0,74,true
winningsix/incubator-parquet-mr,false,0,239,true
androidyue/RxJava,false,0,688,true
UniKnow/htm.java,false,18,929,false
atomfrede/logw,false,0,1,true
irudyak/objenesis,false,0,158,true
mangeshpardeshiyahoo/druid,true,,,
thinker0/aurora,false,0,10,true
girirajsharma/elasticsearch,false,0,24350,true
codespecs/commons-bcel,false,17,189,false
mwassil/inspectIT,true,,,
jtulach/truffle,false,0,35401,true
danielmitterdorfer/elasticsearch,false,0,25233,true
mnadeem/dependent-tasks-executor,true,,,
tschechlovdev/jabref,false,0,4521,true
piyushnarang/parquet-mr,false,16,308,false
alexismeneses/pgjdbc,false,0,841,true
antag99/artemis-odb-contrib,false,0,194,true
marcingrzejszczak/spring-cloud-sleuth,false,0,1166,true
saleyn/simple-binary-encoding,false,15,1658,false
agdphd/jgrapht,false,0,263,true
marko-bekhta/hibernate-validator,false,0,9,true
johngmyers/airlift,false,0,75,true
motlin/eclipse-collections,false,14,4,false
shitikanth/jabref,false,0,2408,true
denizdemir/presto,false,0,11474,true
Siedlerchr/jabref,false,0,392,true
ayanai1/jabref,false,0,4709,true
mythguided/basis,false,0,22,true
dain/airlift,false,0,60,true
checketts/spring-metrics,false,0,1766,true
somasun/reactivesocket-java,false,0,389,true
electrum/airlift,false,0,0,true
protochron/aurora,false,0,584,true
motokito/jabref,false,0,4912,true
pinotlytics/pinot,false,14,4449,false
zhenxiao/parquet-mr,false,13,386,false
smartpcr/druid,false,0,4048,true
fengshao0907/grpc-java,false,0,3109,true
