"project","className","jmhVersion","benchmarkName","executionTimePercentage","warmupTimePercentage","measurementTimePercentage","measurementWarmupRatio","stars","forks","watchers","numberOfCommits","numberOfContributors","numberOfBenchmarks"
"afredlyj/learn-netty","io.netty.microbench.buffer.SwappedByteBufBenchmark","0.9","swappedByteBufSetLong","0.875","0.5","1.25","2.5","0","1","1","6044","111","15"
"afredlyj/learn-netty","io.netty.microbench.buffer.SwappedByteBufBenchmark","0.9","unsafeSwappedByteBufSetInt","0.875","0.5","1.25","2.5","0","1","1","6044","111","15"
"afredlyj/learn-netty","io.netty.microbench.buffer.SwappedByteBufBenchmark","0.9","unsafeSwappedByteBufSetShort","0.875","0.5","1.25","2.5","0","1","1","6044","111","15"
"afredlyj/learn-netty","io.netty.microbench.buffer.SwappedByteBufBenchmark","0.9","unsafeSwappedByteBufSetLong","0.875","0.5","1.25","2.5","0","1","1","6044","111","15"
"afredlyj/learn-netty","io.netty.microbench.concurrent.FastThreadLocalBenchmark","0.9","jdkThreadLocalGet","0.75","1.0","0.5","0.5","0","1","1","6044","111","15"
"afredlyj/learn-netty","io.netty.microbench.concurrent.FastThreadLocalBenchmark","0.9","fastThreadLocal","0.75","1.0","0.5","0.5","0","1","1","6044","111","15"
"afredlyj/learn-netty","io.netty.microbench.internal.RecyclableArrayListBenchmark","0.9","recycleSameThread","0.75","1.0","0.5","0.5","0","1","1","6044","111","15"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.ProxyTest","0.9","proxy","0.1","0.1","0.1","1.0","1","1","2","219","1","38"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.ProxyTest","0.9","proxy0","0.1","0.1","0.1","1.0","1","1","2","219","1","38"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.HashStructTest","0.9","testInsertion","0.1","0.1","0.1","1.0","1","1","2","219","1","38"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.HashStructTest","0.9","testRAetrieval","0.1","0.1","0.1","1.0","1","1","2","219","1","38"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.HashStructTest","0.9","testRBemoval","0.1","0.1","0.1","1.0","1","1","2","219","1","38"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.HashStructTest","0.9","testInsertion0","0.1","0.1","0.1","1.0","1","1","2","219","1","38"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.HashStructTest","0.9","testRAetrieval0","0.1","0.1","0.1","1.0","1","1","2","219","1","38"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.HashStructTest","0.9","testRBemoval0","0.1","0.1","0.1","1.0","1","1","2","219","1","38"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.HashBenchmark","0.9","atroll","0.1","0.1","0.1","1.0","1","1","2","219","1","38"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.HashBenchmark","0.9","java","0.1","0.1","0.1","1.0","1","1","2","219","1","38"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.HashBenchmark","0.9","murmur","0.1","0.1","0.1","1.0","1","1","2","219","1","38"
"akarnokd/akarnokd-misc","hu.akarnokd.rxjava2.DisposableContainerPerf","1.21","compositeAsync","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.rxjava2.DisposableContainerPerf","1.21","fixedAsync","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.rxjava2.DisposableContainerPerf","1.21","stripedAsync","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.rxjava2.DisposableContainerSyncPerf","1.21","compositeSync","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.rxjava2.DisposableContainerSyncPerf","1.21","compositeWithExisting","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.rxjava2.DisposableContainerSyncPerf","1.21","fixedSync","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.rxjava2.DisposableContainerSyncPerf","1.21","fixedSyncWithExisting","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.rxjava2.DisposableContainerSyncPerf","1.21","stripedSync","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.rxjava2.DisposableContainerSyncPerf","1.21","stripedSyncWithExisting","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.rxjava2.PublishProcessorPerf","1.21","unbounded1","0.15","0.2","0.1","0.5","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.rxjava2.PublishProcessorPerf","1.21","unbounded1k","0.15","0.2","0.1","0.5","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.rxjava2.PublishProcessorPerf","1.21","unbounded1m","0.15","0.2","0.1","0.5","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.rxjava2.PublishProcessorPerf","1.21","bounded1","0.15","0.2","0.1","0.5","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.rxjava2.PublishProcessorPerf","1.21","bounded1k","0.15","0.2","0.1","0.5","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.rxjava2.PublishProcessorPerf","1.21","bounded1m","0.15","0.2","0.1","0.5","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.rxjava2.PublishProcessorPerf","1.21","subject1","0.15","0.2","0.1","0.5","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.rxjava2.PublishProcessorPerf","1.21","subject1k","0.15","0.2","0.1","0.5","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.rxjava2.PublishProcessorPerf","1.21","subject1m","0.15","0.2","0.1","0.5","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.queue.SpscIntArrayQueuePerf","1.21","offerPollPrimitive","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.queue.SpscIntArrayQueuePerf","1.21","offerCapacityPrimitive","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.queue.SpscIntArrayQueueXPerf","1.21","send1","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.queue.SpscIntArrayQueueXPerf","1.21","recv1","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.queue.SpscIntArrayQueueXPerf","1.21","send4","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
