"project","commits","useJmhSince"
"jvcaquino/DC-UFSCar-ES2-201601-Grupo6","2","0.04"
"mbosecke/pebble-benchmark","1","0.0"
"kaazing/gateway","9","1.21"
"mdhorton/experiments","2","0.25"
"dmitryleskov/algs4bench","1","0.0"
"fakemongo/fongo","31","3.48"
"mjeffrey/log-sanitizer","1","0.0"
"JervenBolleman/java-benchmarks","1","0.0"
"octabase/fnr-java","2","0.0"
"PhantomThief/scope","3","0.1"
"reaktivity/nukleus.java","24","2.2"
"smoketurner/notification","32","3.26"
"spotify/netty-zmtp","7","1.1"
"bodewig/commons-compress-benchmarks","5","1.75"
"gpanther/benchmark-arraycopy","2","0.08"
"jnordwick/zerog-grisu","4","1.2"
"renoth/texxxxas","1","0.0"
"cpoepke/demos","2","0.03"
"batterseapower/timeseries-compression","2","0.07"
"Nawy/UnsafeCollections","1","0.0"
"amsa-code/risky","41","4.53"
"whitingjr/batch-rewrite-statements-perf","1","0.0"
"tempredirect/GeoFun","2","0.0"
"carrotsearch/hppc","10","4.12"
"danielnorberg/rut","13","4.04"
"darwin-evolution/darwin","3","0.11"
"PhillHenry/palgorithms","2","0.3"
"uchuhimo/kotlin-playground","2","0.03"
"gvsmirnov/java-perv","9","2.83"
"glowroot/glowroot","63","5.14"
"mkraemerx/algorithm-art","2","0.06"
"smoketurner/graphiak","2","0.04"
"volkodava/disruptor-benchmark-tests","1","0.0"
"OpenHFT/jvm-micro-benchmarks","2","0.08"
"yulang/Modified-Parquet","4","0.22"
"karlicoss/autohash","3","0.67"
"MeteoGroup/jbrotli","11","1.33"
"ghxandsky/benchmarx","1","0.0"
"konmik/collection-benchmark","1","0.0"
"bassemZohdy/SimpleUtils","3","0.39"
"deephacks/lmdbjni","17","2.34"
"jthelin/orbit","41","3.58"
"tomwhoiscontrary/sarcoptic","4","1.09"
"sbwdlihao/chainj","3","0.1"
"michaljonko/blog-examples","11","0.92"
"RichardWarburton/java-final-benchmark","1","0.0"
"nickman/json-benchmark","1","0.0"
"person-lee/nlp","4","0.3"
"alexeyr/pcg-java","1","0.0"
"allegro/json-avro-converter","11","2.47"
"alexey-kotlyar/algostructure","2","0.07"
"brettwooldridge/HikariJSON-benchmark","5","2.48"
"maxdemarzi/ChronicleGraph","1","0.0"
"apptik/joio","2","1.08"
"bramp/unsafe","5","1.67"
"andrepnh/data-structure-fun","3","2.49"
"burmanm/gorilla-tsc","10","1.53"
"classgraph/classgraph","13","0.97"
"codahale/aes-gcm-siv","19","1.88"
"codahale/passpol","21","1.92"
"SeanPMiller/containers","2","0.01"
"eranharel/memcached-java-clients-benchmark","2","0.05"
"eventsourcing/es4j","12","0.87"
"foursquare/fsqio","15","2.8"
"HubSpot/jinjava","54","4.64"
"identifiers/identifiers-java","9","0.6"
"ruediste/salta-benchmark","2","0.08"
"InvisibleTech/state","1","0.0"
"arjunswaj/Java8","2","0.38"
"Java-Courses/collections-m0e4","4","3.26"
"jsubercaze/simhashdb","4","3.88"
