project;commit;benchmark;params;effectSize5;effectSize10;effectSize15;effectSize20;effectSize25;wilcoxon5;wilcoxon10;wilcoxon15;wilcoxon20;wilcoxon25;ciRatio5;ciRatio10;ciRatio15;ciRatio20;ciRatio25
rxjava;;io.reactivex.xmapz.FlowableSwitchMapMaybePerf.flowableDedicated;count=10000;0.040580978;0.007834333;0.033780778;0.020829393;0.011610471;6.70E-07;0.337328072;3.52E-05;0.010743231;0.155050816;8.85E-04;0.0043732;0.0011407;0;0.0036446
rxjava;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100&maxConcurrency=1&work=100;0.10216486;0.17613101;0.11960251;0.18517384;0.16769808;6.40E-36;3.36E-103;1.39E-48;7.30E-114;9.81E-94;0.0210781;0.0281662;0.0185824;0.0322178;0.0267169
rxjava;;io.reactivex.ObservableFlatMapPerf.flatMapXRange;count=100000;0.08005699;0.06770232;0.04169237;0.054423;0.03556999;1.07E-22;1.12E-16;3.29E-07;2.64E-11;1.32E-05;0.0020681;0;1.22E-04;0.0020872;6.35E-04
rxjava;;io.reactivex.xmapz.ObservableSwitchMapSinglePerf.observableConvert;count=10000;0.30486144;0.29039313;0.29792377;0.29415169;0.2905675;4.15E-305;4.90E-277;1.77E-291;3.38E-284;2.29E-277;0;0.001643;0.00174;0.001913;0
rxjava;;io.reactivex.XMapYPerf.flowFlatMapCompletable0;times=1000;0.015824318;0.001819946;0.038259329;6.40E-04;0.016048967;0.052667278;0.823654774;2.80E-06;0.937574521;0.049397262;0;8.06E-04;0;0;0
rxjava;;io.reactivex.xmapz.ObservableFlatMapMaybePerf.observablePlain;count=1000000;0.04132055;0.00558266;0.01835279;0.0084158;0.02606546;4.18E-07;0.494154311;0.024595814;0.30268386;0.001411573;0.004293;0.0042717;0.0040597;0.0035341;0.0038138
rxjava;;io.reactivex.ToFlowablePerf.observableInner;times=1;0.033317517;0.020911335;0.025082344;0.019759539;0.011390101;4.53E-05;0.010464794;0.00213325;0.015555017;0.163174665;0.001402;0;2.58E-04;6.13E-04;0.001245
rxjava;;io.reactivex.XMapYPerf.obsFlatMapMaybeAsObs1;times=1;0.011736091;0.021516726;0.011626803;0.002856152;0.001293395;0.150959894;0.008504495;0.154821898;0.726674924;0.874241548;0.001411;0.002451;3.84E-04;8.97E-04;0
rxjava;;io.reactivex.parallel.ParallelPerf.parallel;compute=10000&count=10000&parallelism=2;0.07274908;0.09545098;0.06086881;0.02775911;0.01332433;5.12E-19;1.43E-31;9.01E-14;6.75E-04;0.102711155;0;0;0;0;3.88E-04
rxjava;;io.reactivex.parallel.ParallelPerf.parallel;compute=100&count=10000&parallelism=2;0.33624021;0.48386193;0.39955275;0.24593118;0.15186377;0;0;0;2.69E-199;3.28E-77;0;0.1045455;0.0898346;0.0438371;0.0247916
