project;commit;benchmark;params;< 3%;< 2%;< 1%;< 0.5%
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithProperties;count=50,threadContextMapAlias=NoGcOpenHash;6;20;34;57
ReactiveX/RxJava;;io.reactivex.EachTypeFlatMapPerf.bpRange;times=1000;5;16;34;57
ReactiveX/RxJava;;io.reactivex.EachTypeFlatMapPerf.bpRange;times=1000000;16;22;34;55
ReactiveX/RxJava;;io.reactivex.OperatorMergePerf.oneStreamOfNthatMergesIn1;size=1;5;22;34;50
ReactiveX/RxJava;;io.reactivex.CallableAsyncPerf.observeOnSingle;;20;24;34;42
ReactiveX/RxJava;;io.reactivex.parallel.ParallelPerf.flatMap;compute=10,count=10000,parallelism=4;16;27;34;35
ReactiveX/RxJava;;io.reactivex.parallel.ParallelPerf.parallel;compute=10,count=10000,parallelism=4;13;13;34;
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=500,threadContextMapAlias=NoGcSortedArray;7;7;33;59
ReactiveX/RxJava;;io.reactivex.EachTypeFlatMapPerf.nbpRangeMapJust;times=1000;16;20;33;57
ReactiveX/RxJava;;io.reactivex.JustAsyncPerf.subscribeOnFlowable;;19;25;33;54
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithoutProperties;count=500,threadContextMapAlias=NoGcOpenHash;15;20;33;51
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=50,threadContextMapAlias=CopySortedArray;17;22;33;48
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.FileAppenderParamsBenchmark.param3JulFile;;15;22;33;42
ReactiveX/RxJava;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=1,work=1;10;22;33;38
ReactiveX/RxJava;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=128,work=10;11;11;33;37
ReactiveX/RxJava;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=256,work=100;20;26;33;36
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.Log4j2AppenderComparisonBenchmark.appenderConsole;;23;29;33;34
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONTEXT,queueFullPolicy=SYNCHRONOUS;18;26;32;65
ReactiveX/RxJava;;io.reactivex.XMapYPerf.flowFlatMapIterableAsFlow1;times=100;15;17;32;51
