project;commit;benchmark;params;< 5%;< 3%;< 2%;< 1%
;;org.apache.logging.log4j.perf.jmh.TimeFormatBenchmark.fixedDateFormatReuseCharArray;;9;31;43;63
;;org.apache.logging.log4j.perf.jmh.VarargsBenchmark.baseline;;9;10;10;37
;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV3;;8;15;16;34
;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9ParamsV2;;8;13;14;27
;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.baseline;;8;8;34;87
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput5Params;;8;10;37;37
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackLocationBenchmark.throughputSimple;;8;15;17;26
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.cloneMap;count=500,length=20;8;24;26;26
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.iterateHashContextDataTriConsumer;count=5,length=20;8;8;8;11
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.get;count=5,threadContextMapAlias=NoGcOpenHash;8;8;8;28
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=50,threadContextMapAlias=CopySortedArray;8;8;19;58
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=500,threadContextMapAlias=NoGcSortedArray;8;8;13;17
;;org.apache.logging.log4j.perf.jmh.UuidGeneratorBenchmark.base;;8;9;20;37
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput11Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;7;48;76;77
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersLocationBenchmark.throughputSimple;;7;20;20;38
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.fixedClock;;7;31;31;31
;;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.log4jClassicIsDebugEnabled;;7;9;12;37
;;org.apache.logging.log4j.perf.jmh.LoggerConfigBenchmark.testBaseline;;7;11;19;37
;;org.apache.logging.log4j.perf.jmh.PatternLayoutComparisonBenchmark.logback;;7;48;50;
;;org.apache.logging.log4j.perf.jmh.ReflectionBenchmark.baseline;;7;21;22;36
;;org.apache.logging.log4j.perf.jmh.SimpleBenchmark.testBaselineThroughput;;7;7;7;8
;;org.apache.logging.log4j.perf.jmh.SimpleBenchmark.testIsEnabledLevelResponseTime;;7;9;13;25
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.putAllArrayContextData;count=500,length=20;7;9;20;29
;;org.apache.logging.log4j.perf.jmh.StringEncodingBenchmark.defaultStringGetBytes;;7;8;89;89
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithoutProperties;count=500,threadContextMapAlias=NoGcOpenHash;7;7;23;55
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=5,threadContextMapAlias=CopyOpenHash;7;7;31;55
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.putAndRemove;count=50,threadContextMapAlias=NoGcSortedArray;7;7;7;27
;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params;;6;10;;
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput8Params;;6;11;16;18
;;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark.log4j1File;;6;20;20;68
;;org.apache.logging.log4j.perf.jmh.FileAppenderWithLocationBenchmark.logbackFile;;6;17;17;46
;;org.apache.logging.log4j.perf.jmh.SimpleBenchmark.testBaselineResponseTime;;6;11;18;37
;;org.apache.logging.log4j.perf.jmh.StringBuilderEscapeBenchmark.escapeJsonLargeString;;6;12;15;23
;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7ParamsV3;;5;9;15;22
;;org.apache.logging.log4j.perf.jmh.AnnotationVsMarkerInterface.annotationMissing;;5;5;7;
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughputSimple;;5;5;6;8
;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.testBaseline;;5;5;5;5
;;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.baseline;;5;5;6;16
;;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.log4jIsDebugEnabled;;5;5;52;81
;;org.apache.logging.log4j.perf.jmh.MarkerFilterBenchmark.baseline;;5;9;12;18
;;org.apache.logging.log4j.perf.jmh.NanotimeBenchmark.baseline;;5;14;15;19
;;org.apache.logging.log4j.perf.jmh.ReflectionBenchmark.test01_getCallerClassNameFromStackTrace;;5;5;10;10
;;org.apache.logging.log4j.perf.jmh.ReflectionBenchmark.test02_getCallerClassNameFromThreadStackTrace;;5;5;5;5
;;org.apache.logging.log4j.perf.jmh.ReflectionBenchmark.test05_getStackTraceClassForClassName;;5;6;14;
;;org.apache.logging.log4j.perf.jmh.ReflectionBenchmark.test06_getThreadStackTraceClassForClassName;;5;5;14;14
;;org.apache.logging.log4j.perf.jmh.ReflectionBenchmark.test11_getClassContextViaCallerClass;;5;6;26;54
;;org.apache.logging.log4j.perf.jmh.ReflectionBenchmark.test12_getClassContextViaSecurityManager;;5;5;5;5
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.iterateArrayContextDataBiConsumer;count=500,length=20;5;6;11;13
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.iterateArrayContextDataTriConsumer;count=500,length=20;5;14;16;20
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.iterateHashContextDataBiConsumer;count=500,length=20;5;5;5;5
;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.iterateHashContextDataTriConsumer;count=500,length=20;5;11;11;11
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.get;count=500,threadContextMapAlias=NoGcSortedArray;5;6;10;11
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=5,threadContextMapAlias=CopySortedArray;5;17;19;32
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=50,threadContextMapAlias=CopyOpenHash;5;5;6;9
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=500,threadContextMapAlias=CopyOpenHash;5;8;10;16
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=500,threadContextMapAlias=NoGcOpenHash;5;5;5;9
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=50,threadContextMapAlias=CopyOpenHash;5;28;34;46
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=500,threadContextMapAlias=Default;5;12;19;24
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=500,threadContextMapAlias=NoGcSortedArray;5;5;6;50
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithProperties;count=5,threadContextMapAlias=NoGcSortedArray;5;5;5;5
;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithProperties;count=50,threadContextMapAlias=NoGcSortedArray;5;5;5;62
;;org.apache.logging.log4j.perf.jmh.ThreadsafeDateFormatBenchmark.baseline;;5;5;5;11
;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiGetBytes;;;;;
;;org.apache.logging.log4j.perf.jmh.JpaAppenderBenchmark.testResponseTimeH2Message;;;;;
;;org.apache.logging.log4j.perf.jmh.JpaAppenderBenchmark.testResponseTimeHSQLDBMessage;;;;;
;;org.apache.logging.log4j.perf.jmh.Log4jLogEventBenchmark.testBaseline;;;;;
;;org.apache.logging.log4j.perf.jmh.MarkerFilterBenchmark.log4jParentMarker;;;;;
