project;commit;benchmark;param;i6;i7;i8;i9;i10
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput7Params;;0.043398928;0.036430498;0.063764203;0.036614999;0.174117122
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput8Params;;0.042030242;0.0344221;0.03789678;0.113150428;0.06565715
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput9Params;;0.200264691;0.016115501;0.030421824;0.030602137;0.030802622
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughputSimple;;0.495821438;0.280848406;0.261259006;0.225727848;0.487274698
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackLocationBenchmark.throughputSimple;;0.050397895;0.054298256;0.057811435;0.065091529;0.053750089
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput10Params;;0.007194167;0.007509641;0.010717047;0.005454576;0.003639507
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput11Params;;0.014136467;0.012339594;0.005995502;0.007461662;0.010463089
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput1Param;;0.005860533;0.006356201;0.006704639;0.006009253;0.005775818
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput2Params;;0.006305521;0.011382024;0.00444419;0.003532392;0.004348475
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput3Params;;0.004324734;0.004997379;0.002550351;0.001662272;0.006584822
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput4Params;;0.018760191;0.009455157;0.014176787;0.004793601;0.00695064
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput5Params;;0.007929521;0.012423593;0.006754686;0.014426573;0.009176726
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput6Params;;0.051504765;0.05114318;0.006367756;0.002492507;0.005881118
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput7Params;;0.016018906;0.01221774;0.007275211;0.012689404;0.011919869
