project;commit;benchmark;param;i2;i3;i4;i5;i6;i7;i8;i9;i10
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput11Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.991533256;0.983407957;0.997588081;0.989382103;0.997340024;0.990066561;0.990749275;0.9814092;0.994135134
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput1Param;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.944230609;0.992607527;0.991053387;0.987867155;0.989852691;0.994642349;0.992329906;0.995600185;0.992504569
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput1Param;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.93954116;0.984592637;0.99282274;0.99387263;0.989140147;0.99062058;0.983811565;0.991976962;0.997227832
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput1Param;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.989639554;0.997170272;0.996863919;0.99724305;0.996037918;0.995636886;0.998192743;0.998792964;0.993137721
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput1Param;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.996106712;0.992492341;0.986454117;0.994038036;0.993561636;0.985556644;0.994727348;0.993373468;0.996527326
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput2Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.97583071;0.997594394;0.99499159;0.99209015;0.996085217;0.995180838;0.99370645;0.994176034;0.991023822
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput2Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.97705061;0.973196381;0.991991244;0.991420683;0.99227328;0.976075132;0.988354726;0.996229909;0.980180798
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput2Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.988480349;0.997804835;0.996120374;0.990292573;0.995456136;0.994043376;0.997027805;0.992225321;0.996604468
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput2Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.966403799;0.993896566;0.994161962;0.99121243;0.994272223;0.986940412;0.997335906;0.996666964;0.995385921
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput3Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.972899413;0.994201095;0.996530217;0.985596119;0.994929003;0.995454975;0.997782645;0.996565707;0.990828963
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput3Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.944442495;0.993074875;0.982142187;0.993611369;0.992548111;0.988152209;0.992635491;0.995911325;0.992840719
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput3Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.990597861;0.993420828;0.996966235;0.997166781;0.99140348;0.996331206;0.987469476;0.985328519;0.994320229
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput3Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.984007528;0.996896412;0.993357006;0.991098022;0.99586457;0.991058708;0.99292558;0.993681723;0.992228627
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.945689353;0.989071452;0.989345953;0.989555353;0.991603613;0.990841311;0.990233628;0.993831307;0.995911775
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.968980647;0.987916287;0.989159799;0.991012196;0.991045209;0.994237536;0.978833763;0.991683876;0.9971424
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.989108992;0.995439238;0.99083507;0.985751012;0.993722623;0.981728741;0.999199018;0.995776098;0.991273071
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.990030004;0.990741624;0.99492876;0.989345232;0.985310162;0.988041641;0.994986545;0.995397558;0.990620444
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.97934365;0.982106656;0.991267333;0.99219228;0.995989959;0.991693271;0.997203096;0.985224121;0.98675764
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.983365831;0.995176765;0.991272925;0.992916019;0.989876147;0.994799983;0.988830365;0.988312616;0.99374321
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.989560002;0.984889815;0.996738455;0.995593507;0.99534353;0.996064241;0.990424753;0.995072942;0.991516643
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.990871434;0.995558932;0.980131836;0.991991287;0.994212714;0.995436827;0.99071837;0.986803827;0.997673155
