project;commit;benchmark;params;i5;i6;i7;i8;i9;i10
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndXferQWithLoc-noOpAppender.xml;0.017687715;0.048340837;0.048447943;0.03112063;0.027719982;0.034469994
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput10Params;;0.043145731;0.081060105;0.053397174;0.040122441;0.051097952;0.035228666
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput11Params;;0.047244677;0.04498209;0.029264637;0.021422298;0.01561301;0.02919035
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput1Param;;0.03778828;0.043739835;0.029519774;0.04589427;0.061363364;0.068695047
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput2Params;;0.06355456;0.047761679;0.036366276;0.030221189;0.021931661;0.048146899
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput3Params;;0.06935761;0.070163097;0.051794571;0.074085717;0.02606595;0.024834897
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput4Params;;0.08132628;0.063541135;0.0944561;0.063496788;0.092470267;0.062261417
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput5Params;;0.095817187;0.080735924;0.049190446;0.057513039;0.033457963;0.037066876
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput6Params;;0.005184323;0.011289059;0.015811749;0.021084589;0.014476924;0.025418869
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput7Params;;0.039044231;0.038492594;0.046826441;0.017581482;0.043548503;0.031271827
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput8Params;;0.033357122;0.02197067;0.011831699;0.040777921;0.022518633;0.032447591
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput9Params;;0.026736145;0.028243504;0.031966404;0.033087949;0.056122395;0.067369539
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughputSimple;;0.062894173;0.040995458;0.048525787;0.052891576;0.025898048;0.023161605
;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackLocationBenchmark.throughputSimple;;0.003424866;0.015271984;0.010835736;0.010444311;0.008749046;0.006982984
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput10Params;;0.022197625;0.015064636;0.027657662;0.011750474;0.007500568;0.013290279
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput11Params;;0.039971613;0.025788685;0.043676566;0.020234865;0.020329534;0.024643783
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput1Param;;0.044535795;0.032632904;0.051615333;0.040124278;0.03617171;0.027829969
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput2Params;;0.015952855;0.017519782;0.016731041;0.009585175;0.015074511;0.014950206
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput3Params;;0.02435299;0.023292144;0.025784801;0.015030307;0.021966799;0.013088065
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput4Params;;0.014025659;0.019525973;0.02179728;0.018705047;0.009506277;0.004663171
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput5Params;;0.02872119;0.039421651;0.027458826;0.031009633;0.025842191;0.020128318
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput6Params;;0.149089698;0.08789322;0.142072183;0.142238537;0.141382835;0.097093931
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput7Params;;0.07271978;0.084214967;0.054270783;0.055741655;0.023467794;0.022950452
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput8Params;;0.022153408;0.024910187;0.02156319;0.029449982;0.005549526;0.005864666
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput9Params;;0.030000038;0.034129324;0.04255376;0.032284775;0.026215815;0.009860438
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughputSimple;;0.01660618;0.010118211;0.018509603;0.013305078;0.023832209;0.026218719
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersLocationBenchmark.throughputSimple;;0.163588428;0.101335038;0.22997907;0.188387228;0.196583026;0.204442525
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.baseline;;0.074662727;0.050697296;0.076859736;0.082940271;0.033318147;0.050276942
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.cachedClock;;0.024184202;0.018958707;0.035213005;0.0266769;0.023547143;0.018055705
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.coarseCachedClock;;0.119386525;0.11590931;0.01823703;0.010994394;0.023707424;0.012752461
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.fixedClock;;0.459942722;0.399546185;0.476822536;0.307646398;0.314752141;0.190102147
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.fixedFinalClock;;0.294596708;0.283759504;0.154665741;0.226250189;0.241410044;0.085105711
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.oldCachedClock;;0.031167743;0.0387155;0.012969053;0.006776321;0.009536432;0.011955477
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.systemClock;;0.006643535;0.008144234;0.006408714;0.009892455;0.009855138;0.008345383
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.systemCurrentTimeMillis;;0.017368121;0.018062853;0.02171765;0.015842709;0.011085319;0.012947805
;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArrayList1Element;;0.301779769;0.19661452;0.197522391;0.178810913;0.126259226;0.129998974
;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArrayList3Element;;0.019096631;0.024953416;0.035981359;0.040711739;0.029764949;0.038141403
;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArraySet1Element;;0.429040169;0.245178217;0.266337435;0.161293837;0.428001452;0.216589893
;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArraySet3Element;;0.012137686;0.017152929;0.019539541;0.015277178;0.01217875;0.009711457
;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterMap1Element;;0.020372288;0.025869448;0.029424819;0.028231982;0.02108123;0.019823711
;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterMap3Elements;;0.035782758;0.02593134;0.018875206;0.027750145;0.04008638;0.03570469
;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.testBaseline;;0.023210937;0.01698023;0.024671409;0.013391731;0.017746922;0.022844232
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONFIG,queueFullPolicy=ENQUEUE;0.26621615;0.254095218;0.314009929;0.310898249;0.263539725;0.211941226
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONFIG,queueFullPolicy=ENQUEUE_UNSYNCHRONIZED;0.335641045;0.254431425;0.164877387;0.110553435;0.208150544;0.211753276
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONFIG,queueFullPolicy=SYNCHRONOUS;0.097449868;0.080227857;0.07600924;0.067912384;0.061267566;0.053422718
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONTEXT,queueFullPolicy=ENQUEUE;0.097143756;0.104364222;0.301553085;0.282633168;0.15315321;0.38449432
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONTEXT,queueFullPolicy=ENQUEUE_UNSYNCHRONIZED;0.185986969;0.124432308;0.176551159;0.133321737;0.169265057;0.20449419
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONTEXT,queueFullPolicy=SYNCHRONOUS;0.258914382;0.185194053;0.138257206;0.13801062;0.185956168;0.033654669
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONFIG,queueFullPolicy=ENQUEUE;0.210900143;0.168194614;0.175372854;0.178451352;0.096711854;0.094481347
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONFIG,queueFullPolicy=ENQUEUE_UNSYNCHRONIZED;0.101498317;0.121174119;0.068691573;0.090268012;0.07334978;0.060123753
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONFIG,queueFullPolicy=SYNCHRONOUS;0.050129797;0.074542123;0.075506831;0.049901685;0.054283326;0.049651506
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONTEXT,queueFullPolicy=ENQUEUE;0.214237738;0.152804464;0.041312611;0.223740338;0.151021252;0.136751745
