project;commit;benchmark;params;i1;i2;i3;i4;i5;i6;i7;i8;i9;i10
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.289215844;0.264130531;0.248358349;0.232521421;0.228567052;0.227328393;0.227050156;0.222442284;0.218456747;0.215806066
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.237613046;0.198622428;0.179194783;0.165110812;0.168011256;0.158894083;0.159123786;0.153510269;0.148683688;0.149540576
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.255749718;0.208097304;0.191246812;0.183940242;0.180489882;0.175500841;0.172696994;0.169674311;0.1648291;0.166838274
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.977230535;0.981089446;1.011556914;1.037327606;1.036847405;1.044787034;1.034465226;1.029925628;1.029478254;1.03119975
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.292739659;0.259197056;0.261567492;0.257960193;0.242434339;0.241200657;0.242664557;0.232886046;0.224873073;0.218377355
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput6Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.238534693;0.19682858;0.186340566;0.175643144;0.176616518;0.180260865;0.177323319;0.171526737;0.17158578;0.166681166
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput6Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.069908952;0.075030919;0.072671298;0.069821676;0.072374847;0.071684417;0.070884873;0.069772113;0.068671712;0.067598298
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput6Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.95412033;0.983467793;0.965354457;0.97056714;0.971311086;0.966474992;0.972086114;0.98021735;0.981441057;0.982363789
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput6Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.257009153;0.23570029;0.241591532;0.222615779;0.232969726;0.226168298;0.22160699;0.214674621;0.211860901;0.207859298
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.22349736;0.188047764;0.167041514;0.160996398;0.15914131;0.152142172;0.154911208;0.149139036;0.146312518;0.143228693
