project;commit;benchmark;param;i10;i100;factor
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput3Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.994320229;0.994661657;1.000343378
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput3Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.992228627;0.99259518;1.000369424
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.995911775;0.994840348;0.998924175
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.9971424;0.950228094;0.952951247
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.991273071;0;0
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.990620444;0.994452569;1.003868409
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.98675764;0.998886686;1.012291819
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.99374321;0.99263682;0.998886644
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.991516643;0.989580632;0.998047425
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.997673155;0.995831548;0.998154098
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput6Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.993119454;0.99263214;0.99950931
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput6Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.987892388;0.995170456;1.007367268
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput6Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.998204331;0.997456715;0.999251039
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput6Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.988735844;0.993021718;1.004334701
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.984079668;0.990856022;1.006885981
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.986342994;0.986009159;0.999661543
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.977386315;0.994832136;1.017849463
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.989096616;0.994631876;1.005596278
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.997046185;0.995739234;0.998689177
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.99526546;0.995877546;1.000614998
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.995474364;0.992322645;0.996833953
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.991569166;0.989993361;0.998410797
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.991138421;0.977812323;0.986554756
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.989067215;0.999097856;1.010141516
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.998161324;0.991039981;0.992865539
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.99654677;0.980103281;0.983499531
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.993531059;0.998626286;1.005128402
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.990846463;0.99562935;1.004827072
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.997558355;0.996167729;0.99860597
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.995732284;0.995688334;0.999955862
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndDsrptrWithLoc-noOpAppender.xml;0.997238082;0.998474035;1.001239376
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndMpscQWithLoc-noOpAppender.xml;0.991750419;0.99354395;1.00180845
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndWithLoc-noOpAppender.xml;0.980004953;0.920271716;0.939048025
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndXferQWithLoc-noOpAppender.xml;0.936790615;0.995712803;1.062897927
