project;commit;benchmark;params;meanDefault;meanCov;meanCi;meanKld;ciPercentageDefault;ciPercentageCov;ciPercentageCi;ciPercentageKld;effectSizeCov;effectSizeCi;effectSizeKld;wilcoxonCov;wilcoxonCi;wilcoxonKld;ratioLowerCov;ratioUpperCov;ratioLowerCi;ratioUpperCi;ratioLowerKld;ratioUpperKld
log4j2;;org.apache.logging.log4j.perf.jmh.StringEncodingBenchmark.iso8859_1StringGetBytesString;;5.8041787754284785E-8;5.829130303942302E-8;5.819459459459567E-8;5.8276546676026545E-8;0.01802063528330874;0.02242593033230628;0.0233062173225034;0.02402875907837104;0.0036597971197434164;0.009515869211229468;0.020742717432468003;0.6544148935468834;0.24421403486120186;0.01116985401004592;1.002756;1.007404;1.001427;1.007225;0.9992411;1.006409
log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1Encode;;1.6130053005302123E-7;1.624022815971393E-7;1.6218615584677524E-7;1.6148684605383495E-7;0.027302019131749143;0.013103934443387538;0.009748482733619425;0.031693650127457944;0.21291760918311384;0.20927857515170342;0.02646806643253102;7.755471082069051E-150;7.422747945409601E-145;0.0011900358686003645;1.003032;1.017173;0.9995702;1.017385;0.9977718;1.003049
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadLocalVsPoolBenchmark._stringThreadLocal;;4.030444488937797E-7;4.0568082123183935E-7;4.063029120384217E-7;4.096695025522914E-7;0.08173837697300496;0.07975432702054588;0.09051446512382887;0.08578396430742763;0.01521310898172266;0.02406031003161819;0.058546454948907416;0.06260878664061702;0.003225644701934736;7.683748570450232E-13;1.005079;1.013754;1.009095;1.019341;1.021158;1.030563
log4j2;;org.apache.logging.log4j.perf.jmh.NanotimeBenchmark.granularity_nanotime;;5.7001599999999154E-8;5.697719771977116E-8;5.7019299999999046E-8;5.6996398559422616E-8;0.003273506455005207;0.003827370782138905;0.005695869639525786;0.0031744132432316315;0.0240006600660066;0.02517126;0.017445278111244498;0.003289316190670696;0.0020509042212770398;0.032652170317930856;0.9993563;1.000073;0.9994787;1.002131;0.9998075;1.000091
log4j2;;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark.log4j2AsyncAppender;;1.2653076132744327E-6;1.1961570231036624E-6;1.2729704281753727E-6;1.2043005436455048E-6;0.1482606277414707;0.08082050451444509;0.16036014834283108;0.05381959746097411;0.1098091166637464;0.007314434955355428;0.08246274619424489;2.8526677378671918E-40;0.3767475729545505;2.1111119384910725E-23;0.9143627;0.9844378;1.012567;1.02543;0.9025371;0.9957162
log4j2;;org.apache.logging.log4j.perf.jmh.Log4jLogEventBenchmark.createLogEventWithoutExceptionUsingBuilder;;1.8093176588295515E-7;1.817380904723918E-7;1.799997999199813E-7;1.8229157494498153E-7;0.02411835599966626;0.026212520238699792;0.020432222222222244;0.044690185411651186;0.0025447872054522058;0.11630246896157162;0.0031902983711187194;0.7553731127387221;5.134080659170184E-46;0.6960833739978798;1.002766;1.004579;0.9936189;1.000142;1.003969;1.024456
log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf16GetBytes;;7.633334334635092E-7;7.898614367297869E-7;7.622755132699067E-7;1.1452088000000006E-6;0.7733626488013072;0.778695328009041;0.6427111987575918;0.049296591088381345;0.03132174221036992;0.010301273478255834;0.6051608791428857;1.266167028018801E-4;0.20740680522393085;0.0;0.8688527;1.024769;0.7923896;0.9826925;1.030803;2.099759
log4j2;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.putAllArrayContextData;count=500&length=20;1.0843578000000468E-6;1.0824759427828907E-6;1.0829960000000643E-6;1.0849176000000564E-6;0.022815679923861656;0.018692995783708446;0.027592797783933594;0.019191386686672553;0.0024738321496448933;0.06673772;0.00497188;0.7619271879953742;2.9965956075367293E-16;0.5425819541411059;0.9941544;1.000165;0.9995052;1.004685;0.9967123;1.001275
log4j2;;org.apache.logging.log4j.perf.jmh.PatternLayoutComparisonBenchmark.log4j2;;4.83733613529469E-7;4.857582307615321E-7;4.836668002003018E-7;4.880689620658575E-7;0.06062261228768177;0.04712758765110177;0.049645520537072454;0.03819298579114528;9.09272536006867E-6;0.02261207281752209;0.018852752526808802;0.9991117877592773;0.0056434529423015165;0.020999155257206685;0.9898602;1.003712;0.9918604;1.003744;0.99433;1.016014
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithProperties;count=500&threadContextMapAlias=NoGcOpenHash;4.879469066906685E-5;4.947429119999958E-5;4.866228062806237E-5;4.922871294258868E-5;0.02941796909695609;0.06841097189321076;0.02686365789577256;0.03349421144894394;0.11958649864986498;0.19124713751503164;0.06034910352407515;1.4380563143273897E-48;2.6030682379481353E-121;1.4629272528900616E-13;1.002236;1.043341;0.9963235;1.000398;1.005741;1.009816
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadLocalVsPoolBenchmark._stringObjectPool;;4.5303221610805607E-7;4.553537414965983E-7;4.5105892946473193E-7;4.5484068848193885E-7;0.02044466337302735;0.06077648845979918;0.023991144378074657;0.04603345198591641;0.08704589389532702;0.15183701905980504;0.07742187915733109;1.59596310198401E-26;3.796974947176202E-77;2.5642986943168333E-21;0.990785;1.031455;0.9936453;0.9972481;0.9962417;1.022187
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithoutProperties;count=50&threadContextMapAlias=NoGcSortedArray;1.881133226645222E-7;1.8759983993596252E-7;1.8819313862771629E-7;1.881033206641219E-7;0.03309794654601941;0.037524953929158084;0.0324904127434802;0.032873886455085176;0.012329696831723287;0.017609803216894628;0.007264175379584819;0.13109216676330993;0.031046047072341206;0.37369953953049906;0.9914618;1.009343;0.9870038;0.998281;0.9946033;0.9974004
log4j2;;org.apache.logging.log4j.perf.jmh.MarkerFilterBenchmark.logbackParentMarker;;5.2402220666199055E-8;5.3239199999999764E-8;5.2735920776231975E-8;5.2654396318895255E-8;0.049851920925526164;0.07829777136843512;0.057043805689373416;0.04587234835595554;0.18192814844453337;0.02956824828783035;0.04978952923648426;5.863066726417311E-110;2.937817580205516E-4;1.0815876261412185E-9;1.000935;1.03143;0.9913748;1.007663;1.006775;1.016786
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithProperties;count=50&threadContextMapAlias=CopySortedArray;4.960402480496098E-6;4.984926585317054E-6;4.95650285028505E-6;4.984436130839275E-6;0.06884371842506742;0.0691897466429505;0.07323097107992844;0.07518593189560538;0.03150446052403119;0.003716154772108537;0.01979496629544975;1.1431382783048548E-4;0.64904547455088;0.015349985780606184;1.002164;1.008439;1.000185;1.004729;0.9981767;1.006883
